,aid,themes,scores,title,types,year,directors,thems_map
178,i07rixiqrz15irl,"['黑帮与善恶较量', '真诚与友谊', '自我发现', '勇敢面对困境', '欺诈与智慧', '敌友关系']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",狂野目标,['喜剧' '犯罪' '动作'],2010,['乔纳森·林恩'],"['善恶较量', '友谊', '成长与自我发现', '勇敢面对困境', '欺诈与智慧', '敌友关系']"
179,xq40wik5tkvqcrv,"['团队合作', '勇敢面对困境', '诚实与信任', '儿童与成长', '亲情与成长', '自我发现与成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",警车联盟,['亲情' '冒险' '动画'],2018,['邓志基'],"['团结与合作', '勇敢面对困境', '忠诚与信任', '亲情与成长', '亲情与成长', '自我与成长']"
180,mzc00200ecikjhl,"['自信', '团队合作', '动物与人类和谐共处', '探险精神', '勇气与决断', '乐观向上']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",贝肯熊2：金牌特工,['冒险' '纪录片' '动画'],2021,['张扬'],"['自信', '团结与合作', '动物与人类和谐共处', '冒险精神', '勇敢与决心', '乐观向上']"
181,mzc002002adpp50,"['生存与挑战', '冒险精神', '团队合作', '环境与自然', '勇气与决断', '时空错位']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",逃出白垩纪,['惊悚' '冒险' '科幻'],,['斯科特·贝克' '布莱恩·伍兹'],"['生存与挑战', '冒险精神', '团结与合作', '环境与自然', '勇敢与决心', '时空错位']"
182,t2t7544bcr1pw8r,"['友情与合作', '勇气与决断', '智慧与谜题', '警察与侦探', '欺诈与智慧', '真相与谎言']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",唐人街探案2,['搞笑' '剧情' '动作' '喜剧' '悬疑' '犯罪'],2018,['陈思诚'],"['团结与合作', '勇敢与决心', '悬疑与谜题', '警察与犯罪', '欺诈与智慧', '真相与谎言']"
183,egdwirgvj9yvfzm,"['女性力量与平等', '勇气与决断', '自我发现', '信任与背叛', '战斗与生存']","[9.0, 8.0, 8.0, 7.0, 7.0]",野人族女王,['悬疑' '动作'],2017,['李巨川'],"['女性力量与平等', '勇敢与决心', '成长与自我发现', '信任与背叛', '灾难与生存']"
184,dvp1mm6u6kxshuf,"['勇气与牺牲', '民族抗战与团结', '忠诚和承诺', '团结与支持', '正义与清明', '生死抉择']","[10.0, 10.0, 9.0, 8.0, 7.0, 6.0]",无名战士,['战争' '剧情' '历史'],2017,['阿库·卢希米斯'],"['勇气与决定', '民族抗战与团结', '忠诚和承诺', '团结与合作', '正义与清明', '生死抉择']"
185,ciwsbplwbrje0gt,"['科技与未来', '自我成长', '人性与道义', '团结与合作', '勇气与决断', '生存与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",钢铁侠,['剧情' '动作' '惊悚' '科幻' '冒险'],2008,['乔恩·费儒'],"['科技与未来', '自我与成长', '人性与道义', '团结与合作', '勇敢与决心', '生存与挑战']"
186,mzc002003q3gvl8,"['探险精神', '勇气与决断', '神秘与恐惧', '挑战与成长', '历史传说', '敌友关系']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",罗布泊之九龙天棺,['奇幻' '冒险' '动作'],2020,['李立铭'],"['冒险精神', '勇敢与决心', '神秘与恐惧', '挑战与冒险', '历史传说', '敌友关系']"
187,lt0w27nj9tpfllw,"['逆境成长', '勇敢面对困境', '自我发现', '喜剧式励志', '梦想与现实', '坚持与信念']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]",新喜剧之王,['剧情' '喜剧'],2019,['周星驰'],"['逆境成长', '勇敢面对困境', '成长与自我发现', '喜剧式励志', '梦想与现实', '坚持与信念']"
188,7g0jlcbwbuay8q2,"['成长与自我发现', '友谊', '梦想与现实', '团队合作', '乐观向上', '音乐文化']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",欢乐好声音,['歌舞' '喜剧' '音乐' '动画'],2016,['加斯·詹宁斯' '克里斯托弗·劳德勒特'],"['成长与自我发现', '友谊', '梦想与现实', '团结与合作', '乐观向上', '音乐文化']"
189,mzc00200ets769l,"['生死抉择', '勇气与决断', '恐惧与挑战', '灾难与生存']","[10.0, 9.0, 8.0, 7.0]",大蛇王,['灾难' '惊悚'],2022,['郭明尔'],"['生死抉择', '勇敢与决心', '生存与挑战', '灾难与生存']"
190,9g0qaxqkl2ctb2t,"['爱情', '友情', '自我发现', '情感纠葛', '人际关系', '青春与成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",前任2：备胎反击战,['喜剧' '爱情'],2015,['田羽生'],"['爱情', '友情', '成长与自我发现', '情感纠葛', '人类与机器人的关系', '亲情与成长']"
191,igy79xk26amdv6z,"['灵异现象', '阴阳冲突', '真相与谎言', '恐惧与挑战']","[10.0, 9.0, 8.0, 7.0]",招魂,['悬疑' '惊悚' '恐怖'],2013,['詹姆斯·温'],"['灵异现象', '阴阳冲突', '真相与谎言', '生存与挑战']"
192,mzc00200tjx10w4,"['生死抉择', '团队合作', '勇气与决断', '恐惧与挑战', '生存与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0]",深海巨蟒,['悬疑' '灾难' '剧情' '冒险'],,['王庆'],"['生死抉择', '团结与合作', '勇敢与决心', '生存与挑战', '生存与挑战']"
193,mzc0020021sbml5,"['成长与自我发现', '友情', '自然与环境保护', '家庭与团圆', '冲突与和解', '勇气与冒险']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",比得兔2：逃跑计划,['奇幻' '冒险' '喜剧' '动画'],2021,['威尔·古勒'],"['成长与自我发现', '友情', '环境保护', '家庭与团圆', '冲突与和解', '勇气与决定']"
194,yetppr64a8gwrgz,"['团队合作', '勇气与决断', '信任与背叛', '正义与清明', '敌友关系', '战斗与生存']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",敢死队2,['动作' '惊悚' '战争' '冒险' '犯罪'],2012,['西蒙·韦斯特'],"['团结与合作', '勇敢与决心', '信任与背叛', '正义与清明', '敌友关系', '灾难与生存']"
195,mzc00200myum1yh,"['团队合作', '冒险精神', '勇敢面对困境', '善恶较量', '竞争与合作']","[10.0, 9.0, 8.0, 7.0, 6.0]",猫和老鼠：西部大冒险,['冒险' '剧情' '动画'],,['达雷尔·范·西特斯'],"['团结与合作', '冒险精神', '勇敢面对困境', '善恶较量', '团结与合作']"
196,jkxldo6czqaxz7f,"['成长与自我发现', '神秘与恐惧', '人与自然的关系', '奇幻世界', '冒险精神', '友谊']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]",深海,['奇幻' '动画'],2023,['田晓鹏'],"['成长与自我发现', '神秘与恐惧', '人类与自然的关系', '奇幻世界', '冒险精神', '友谊']"
197,mzc00200jblzlgz,"['正义与清明', '职业道德', '团队合作', '勇气与决断', '犯罪与黑帮', '警察与侦探']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]",重装战警,['犯罪' '动作'],2022,['王晶'],"['正义与清明', '职业道德', '团结与合作', '勇敢与决心', '犯罪与惩罚', '警察与犯罪']"
198,z6j3ixjjcokafyc,"['逆境成长', '家庭与团圆', '困境与挑战', '喜剧式励志', '财富与价值观']","[10.0, 9.0, 8.0, 7.0, 6.0]",西虹市首富,['喜剧' '搞笑'],2018,['闫非' '彭大魔'],"['逆境成长', '家庭与团圆', '生存与挑战', '喜剧式励志', '财富与价值观']"
199,mzc00200vzxfl43,"['神秘与恐惧', '探索与冒险', '历史与文明', '生死抉择', '勇气与决断', '团队合作']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",鬼吹灯之南海归墟,['冒险' '动作'],2022,['项秋良' '项河生'],"['神秘与恐惧', '挑战与冒险', '历史和文明', '生死抉择', '勇敢与决心', '团结与合作']"
200,mzc002009k9udxy,"['勇气与冒险', '神秘与恐惧', '团队合作', '调查与解谜', '文化遗产']","[10.0, 9.0, 8.0, 7.0, 6.0]",地宫笔记之五百龙首,['搞笑' '动作' '奇幻' '喜剧' '悬疑' '冒险'],2020,['孙达'],"['勇气与决定', '神秘与恐惧', '团结与合作', '调查与解谜', '文化遗产']"
201,i54sausckvytqnl,"['人工智能', '人机合作', '科技与未来', '身份追寻', '勇敢面对困境', '逆境成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",特工艾米拉,['科幻' '剧情' '动作'],2014,['徐宏辉'],"['人工智能', '人机合作', '科技与未来', '身份追寻', '勇敢面对困境', '逆境成长']"
202,hzssbvhzc7xyr95,"['信任与背叛', '真爱与选择', '神话与传说', '情感纠葛', '文化与传承', '勇敢面对困境']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",白蛇：缘起,['奇幻' '动画' '爱情' '古装'],2019,['黄家康' '赵霁'],"['信任与背叛', '真爱与选择', '神话与传说', '情感纠葛', '文化与传承', '勇敢面对困境']"
203,13468zf8900rmfm,"['情感纠葛', '信任与背叛', '成长与自我发现', '友情', '回忆与挽回', '逆境成长']","[10.0, 9.0, 8.0, 8.0, 7.0, 6.0]",前任攻略,['喜剧' '爱情' '搞笑'],2014,['田羽生'],"['情感纠葛', '信任与背叛', '成长与自我发现', '友情', '回忆与挽回', '逆境成长']"
204,mzc002005bvno3g,"['青春与成长', '真爱与选择', '自我与成长', '执着与放手', '成长痛苦', '时间与回忆']","[10.0, 10.0, 9.0, 9.0, 8.0, 8.0]",你的婚礼,['爱情'],2021,['韩天'],"['亲情与成长', '真爱与选择', '亲情与成长', '执着与放手', '自我发现与成长', '时间与回忆']"
205,mzc00200rblzjix,"['友谊与竞争', '适应与融入', '冲突与和解']","[9.0, 8.0, 7.0]",猫和老鼠·真人版,['冒险' '喜剧' '动画' '家庭'],2021,['蒂姆·斯托瑞'],"['友谊', '适应与融入', '冲突与和解']"
206,5srq97ata83mikc,"['友谊与成长', '忠诚和团结', '自我接受', '信任和诚实', '探索与冒险']","[10.0, 9.0, 8.0, 7.0, 6.0]",玩具总动员4,['奇幻' '冒险' '喜剧' '动画'],2019,['乔什·库雷'],"['友谊', '忠诚和承诺', '自我接受', '信任和诚实', '挑战与冒险']"
207,mzc00200rcd0dy0,"['探索与冒险', '神秘与恐惧', '勇气与决断', '真相与谎言', '团队合作', '文化遗产']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",鬼吹灯之精绝古城,['奇幻' '冒险' '动作'],2022,['林珍钊'],"['挑战与冒险', '神秘与恐惧', '勇敢与决心', '真相与谎言', '团结与合作', '文化遗产']"
208,ehqo76prcwku2oq,"['自然与生存', '亲情疏远', '领导与责任', '成长与自我发现', '信任与背叛', '勇气与决断']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",狮子王,['剧情' '歌舞' '家庭' '冒险' '动画'],2019,['乔恩·费儒'],"['灾难与生存', '亲情疏远', '力量与责任', '成长与自我发现', '信任与背叛', '勇敢与决心']"
209,z95vg0q79gz2cde,['生死抉择'],[10.0],生化危机：终章,['恐怖' '动作' '惊悚' '科幻' '冒险'],2017,['保罗·安德森'],['生死抉择']
210,5p7gldtsriqkelp,"['正义与罪恶', '道义与背叛', '职业道德', '勇气与决断', '战斗与生存', '敌友关系']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",边境杀手2：边境战士,['惊悚' '剧情' '犯罪' '动作'],2018,['斯特法诺·索利马'],"['正义与清明', '信任与背叛', '职业道德', '勇敢与决心', '灾难与生存', '敌友关系']"
211,mzc00200jfxbn41,"['人工智能', '人机合作', '虚拟现实', '信任与背叛', '反抗与自由', '团队合作']","[10.0, 10.0, 10.0, 9.0, 8.0, 7.0]",失控玩家,['喜剧' '科幻' '动作'],2021,['肖恩·利维'],"['人工智能', '人机合作', '虚拟现实与现实冲突', '信任与背叛', '反抗与自由', '团结与合作']"
212,90qkh14unn4q8xu,"['科技与未来', '人类潜能', '力量与责任', '自我与成长']","[10.0, 9.0, 8.0, 7.0]",钢铁侠2,['冒险' '科幻' '动作'],2010,['乔恩·费儒'],"['科技与未来', '人类潜能', '力量与责任', '亲情与成长']"
213,mzc00200tfjjhih,"['人类与自然的关系', '政治与权力', '命运与选择', '家族秘密', '生存与挑战', '团队合作']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",沙丘,['冒险' '剧情' '科幻' '动作'],2021,['丹尼斯·维伦纽瓦'],"['人类与自然的关系', '政治与权力', '真爱与选择', '家族秘密', '生存与挑战', '团结与合作']"
214,f3qroleq1lyuavy,"['友情与竞争', '探案与智慧', '警察与侦探', '文化冲突', '逆境成长', '敌友关系']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",唐人街探案,['搞笑' '动作' '喜剧' '悬疑' '犯罪'],2015,['陈思诚'],"['友情', '欺诈与智慧', '警察与犯罪', '文化冲突', '逆境成长', '敌友关系']"
215,q8xwiu8yyxahzz8,"['友谊与成长', '自我发现', '勇气与决断', '传统与创新', '父子关系', '战胜恶势力']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",功夫熊猫3,['搞笑' '动作' '喜剧' '冒险' '动画'],2016,['吕寅荣' '亚历山德罗·卡罗尼'],"['友谊', '成长与自我发现', '勇敢与决心', '传统与现代', '父子关系', '邪恶势力']"
216,mzc00200rk32jri,"['亲情与成长', '自我与成长', '家庭关系', '父子关系', '挑战与成长', '勇气与冒险']","[10.0, 9.0, 8.0, 8.0, 7.0, 6.0]",新大头儿子和小头爸爸4：完美爸爸,['奇幻' '冒险' '动画'],2021,['何澄' '刘可欣'],"['亲情与成长', '亲情与成长', '家庭关系', '父子关系', '挑战与冒险', '勇气与决定']"
217,mzc00200892n01l,"['神话与传说', '文化传承', '忠诚与承诺', '勇气与决断', '自我成长', '信任与背叛']","[10.0, 9.0, 8.0, 8.0, 7.0, 6.0]",姜子牙,['剧情' '动作' '奇幻' '冒险' '动画'],2020,['程腾' '李炜'],"['神话与传说', '文化与传承', '忠诚与信任', '勇敢与决心', '自我与成长', '信任与背叛']"
218,xhjxt4qacp7x6vf,"['职业道德', '信任与背叛', '勇气与决断', '正义与清明', '军事战略', '敌我难辨']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",生死狙击,['动作' '战争' '悬疑' '惊悚' '犯罪'],2007,['安东尼·福奎阿'],"['职业道德', '信任与背叛', '勇敢与决心', '正义与清明', '军事战略', '敌我难辨']"
219,vx28eacrd1aar2k,"['汽车文化', '信任与背叛', '职业道德', '敌友关系']","[10.0, 9.0, 8.0, 7.0]",的士速递,['喜剧' '搞笑' '犯罪' '动作'],1998,['吉拉尔·皮雷'],"['汽车文化', '信任与背叛', '职业道德', '敌友关系']"
220,mzc00200g2o297n,"['人性与欲望', '真爱与选择', '身份追寻', '邪恶与善良', '勇敢面对困境', '命运与选择']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",美人皮,['剧情' '爱情' '动作' '奇幻' '悬疑' '惊悚'],2020,['麦贯之'],"['人性与道义', '真爱与选择', '身份追寻', '邪恶与善良', '勇敢面对困境', '真爱与选择']"
221,e3927iak2dvwelf,"['环境与自然', '灾难与生存', '科技与未来', '团队合作', '勇气与决断', '生存与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",全球风暴,['灾难' '科幻' '动作'],2017,['迪安·德夫林'],"['环境与自然', '灾难与生存', '科技与未来', '团结与合作', '勇敢与决心', '生存与挑战']"
222,mzc002000dujho6,"['成长与自我发现', '人与自然的关系', '友谊', '爱与牺牲', '奇幻世界']","[9.5, 9.0, 8.5, 8.0, 7.5]",海兽之子,['奇幻' '冒险' '动画'],2019,['渡边步'],"['成长与自我发现', '人类与自然的关系', '友谊', '保护与牺牲', '奇幻世界']"
223,066t08wd89q7j0v,"['信任与背叛', '职业道德', '国家荣誉', '敌友关系', '勇气与决断', '正义与清明']","[10.0, 9.0, 8.0, 8.0, 7.0, 7.0]",叛谍追击,['悬疑' '惊悚' '犯罪' '动作'],2012,['菲利普·施特尔茨尔'],"['信任与背叛', '职业道德', '国家荣誉', '敌友关系', '勇敢与决心', '正义与清明']"
224,8fug3b3u6gttbba,"['国家荣誉', '勇气与决断', '间谍活动', '反恐任务', '信任与背叛', '危机应对']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",特工008,['动作'],2008,['奥列格·波戈金'],"['国家荣誉', '勇敢与决心', '间谍活动', '反恐任务', '信任与背叛', '危机应对']"
225,10evt1f9wqxa8bq,"['亲子关系', '成长与自我发现', '文化差异', '友谊', '勇敢面对困境', '教育']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",新大头儿子和小头爸爸3：俄罗斯奇遇记,['冒险' '家庭' '儿童' '动画'],2018,['何澄'],"['父子关系', '成长与自我发现', '文化差异', '友谊', '勇敢面对困境', '教育']"
226,kbmpjffrp3gnc9f,"['人类与外星生物交流', '语言与交流', '时间观念', '生命与死亡', '亲情与成长', '困境与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",降临,['悬疑' '剧情' '科幻'],2017,['丹尼斯·维伦纽瓦'],"['人类与外星生物交流', '语言与交流', '时间观念', '生命和死亡', '亲情与成长', '生存与挑战']"
227,4abqpjhvl3rm3n7,"['黑帮与道义', '友情与信任', '勇气与决断', '正义与清明']","[10.0, 9.0, 8.0, 7.0]",黑帮战将,['犯罪' '动作'],1990,['柳松柏'],"['人性与道义', '忠诚与信任', '勇敢与决心', '正义与清明']"
228,177fphyzgxiyj6x,"['信任与背叛', '勇气与决断', '团队合作', '身份追寻', '间谍活动', '反恐任务']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",碟中谍2,['惊悚' '冒险' '动作'],2000,['吴宇森'],"['信任与背叛', '勇敢与决心', '团结与合作', '身份追寻', '间谍活动', '反恐任务']"
229,mzc00200sf6xtmk,"['反恐任务', '女性力量与平等', '正义与清明', '勇气与决断', '团队合作', '复仇与救赎']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",狙击之王：暗杀,['犯罪' '喜剧' '动作'],,['霍穗强'],"['反恐任务', '女性力量与平等', '正义与清明', '勇敢与决心', '团结与合作', '复仇与正义']"
230,cz2szzeahb8aj1k,"['团队合作', '人类潜能', '力量与责任', '勇气与决断', '友谊', '牺牲与奉献']","[10.0, 9.0, 9.0, 8.0, 7.0, 7.0]",复仇者联盟,['奇幻' '冒险' '科幻' '动作'],2012,['乔斯·韦登'],"['团结与合作', '人类潜能', '力量与责任', '勇敢与决心', '友谊', '牺牲和奉献']"
231,5z9gtdw6vtgh4s2,"['青春与成长', '忠诚和承诺', '勇气和决断', '生死抉择', '团队合作']","[10.0, 9.0, 8.0, 8.0, 7.0]",桥,['战争' '历史'],2008,['沃夫冈·盘泽尔'],"['亲情与成长', '忠诚和承诺', '勇气和冒险', '生死抉择', '团结与合作']"
232,2oaou6bi3anqp26,"['正义与清明', '复仇与救赎', '职业道德', '暗杀与黑暗世界', '勇气与决断', '团队合作']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",制裁特攻,['犯罪' '惊悚' '动作'],2018,['安东尼·福奎阿'],"['正义与清明', '复仇与正义', '职业道德', '暗杀与黑暗世界', '勇敢与决心', '团结与合作']"
233,q5ze3rykjjgrev9,"['困境与挑战', '勇气与决断', '团队合作', '军事行动', '人类潜能', '正义与清明']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",半条命3-特种兵之战,['剧情' '动作'],2016,['朱江'],"['生存与挑战', '勇敢与决心', '团结与合作', '军事行动', '人类潜能', '正义与清明']"
234,mzc00200ro10p4o,"['牺牲与奉献', '真爱与选择', '信任与背叛', '勇气与决定', '成长与自我发现', '宽容与包容']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",小美人鱼,['奇幻' '歌舞' '冒险' '爱情'],2023,['罗伯·马歇尔'],"['牺牲和奉献', '真爱与选择', '信任与背叛', '勇敢与决心', '成长与自我发现', '接受与包容']"
235,hwqubwf3mo66y64,"['亲情与成长', '接受与包容', '父女关系', '友情']","[10.0, 9.0, 8.0, 7.0]",精灵旅社2,['奇幻' '喜剧' '动画' '家庭'],2015,['格恩迪·塔塔科夫斯基'],"['亲情与成长', '接受与包容', '父子关系', '友情']"
236,mzc002005p0jk8v,"['困境与挑战', '警察与侦探', '正义与清明', '犯罪与黑帮', '勇气与决定']","[10.0, 9.0, 8.0, 7.0, 6.0]",名侦探柯南：万圣节的新娘,['悬疑' '动画' '动作'],,['满仲劝'],"['生存与挑战', '警察与犯罪', '正义与清明', '犯罪与惩罚', '勇敢与决心']"
237,mzc00200c585xnu,"['职业道德', '成长与自我发现', '勇敢面对困境']","[10.0, 9.0, 8.0]",不止不休,['剧情'],2020,['王晶'],"['职业道德', '成长与自我发现', '勇敢面对困境']"
238,m5zzglrbt5zdv6d,"['武术传承', '民族荣誉', '师徒关系', '勇气与决定', '传统与现代', '正义与清明']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",叶问4,['传记' '剧情' '动作' '武侠' '历史'],2019,['叶伟信'],"['武术传承', '民族荣誉', '师徒关系', '勇敢与决心', '传统与现代', '正义与清明']"
239,1o29ui77e85grdr,"['自由与救赎', '友谊与信任', '希望与坚持']","[10.0, 9.0, 8.0]",肖申克的救赎,['剧情' '励志' '犯罪'],1994,['弗兰克·德拉邦特'],"['复仇与救赎', '忠诚与信任', '信念与坚持']"
240,6h70w1t6erhbbkx,"['成长与自我发现', '力量与责任', '人性与道义', '英雄与救赎', '爱情与牺牲', '友谊与信任']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",蜘蛛侠,['动作' '惊悚' '科幻' '冒险' '犯罪'],2002,['山姆·雷米'],"['成长与自我发现', '力量与责任', '人性与道义', '复仇与救赎', '保护与牺牲', '忠诚与信任']"
241,mzc00200fwbilts,"['神秘与恐惧', '阴阳冲突', '谜团解开', '民间信仰', '奇门遁甲', '探索与冒险']","[10.0, 9.0, 9.0, 8.0, 7.0, 6.0]",不老山异事,['悬疑' '惊悚' '冒险'],2022,['张霸波'],"['神秘与恐惧', '阴阳冲突', '谜团解开', '民间信仰', '奇门遁甲', '挑战与冒险']"
242,mzc00200cpg1ig3,['生存与挑战'],[10.0],蛇王2021,['冒险' '动作' '灾难' '科幻' '惊悚'],2021,['苗金光' '苗金仓'],['生存与挑战']
243,36t1wi1qri4h2ej,"['生存与挑战', '生死抉择', '恐惧与挑战']","[10.0, 9.0, 8.0]",夺命五头鲨,['惊悚' '恐怖' '科幻'],2017,['克里斯托弗·雷'],"['生存与挑战', '生死抉择', '生存与挑战']"
244,rj5vksslchkvh63,"['成长与自我发现', '友谊与信任', '勇敢面对困境', '真诚与友谊', '奇幻世界', '儿童与成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",猪猪侠·不可思议的世界,['冒险' '喜剧' '动画'],2019,['陆锦明' '钟彧'],"['成长与自我发现', '忠诚与信任', '勇敢面对困境', '友谊', '奇幻世界', '亲情与成长']"
245,mzc0020012faram,"['友情与信任', '团队合作', '勇敢面对困境', '儿童与成长', '冒险精神', '环保意识']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",迷你特工队之拯救恐龙王,['动画'],2020,[],"['忠诚与信任', '团结与合作', '勇敢面对困境', '亲情与成长', '冒险精神', '环保意识']"
246,mzc00200nfpfnid,"['友情', '儿童与成长', '忠诚和承诺', '科技与未来', '自我与成长', '勇气和冒险']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",哆啦A梦：伴我同行2,['剧情' '动画'],2020,['八木龙一' '山崎贵'],"['友情', '亲情与成长', '忠诚和承诺', '科技与未来', '亲情与成长', '勇气和冒险']"
247,zs00407pub6w7n6,"['忠诚与背叛', '师徒关系', '武术传承', '善恶较量', '正义与清明', '江湖武侠']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",少林叛徒,['悬疑' '武侠' '动作'],1977,['林大超'],"['信任与背叛', '师徒关系', '武术传承', '善恶较量', '正义与清明', '江湖武侠']"
248,mzc00200uf2vwkp,"['友情与信任', '忠诚与团队合作', '冒险精神', '勇敢面对困境']","[9.0, 8.0, 7.0, 6.0]",九叔归来2,['惊悚' '喜剧' '动作'],2021,['王建闯'],"['忠诚与信任', '团队合作', '冒险精神', '勇敢面对困境']"
249,mzc00200b3hvcjq,"['家庭矛盾与和解', '道义与法律', '自我救赎', '父爱', '人性挣扎', '法律与正义']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",误杀2,['剧情' '犯罪'],2021,['戴墨'],"['家庭矛盾', '道义与背叛', '自我救赎', '父爱', '人性挣扎', '复仇与正义']"
250,3j6v0bpyyudipae,"['团队合作', '牺牲与奉献', '勇气与决定', '真实事件改编', '军事行动', '民族荣誉']","[9.5, 9.0, 8.5, 8.0, 7.5, 7.0]",黑鹰坠落,['战争' '剧情' '历史' '动作'],2001,['雷德利·斯科特'],"['团结与合作', '牺牲和奉献', '勇敢与决心', '真实事件改编', '军事行动', '民族荣誉']"
251,1902rza0d5zclyt,"['记忆与现实', '时间错乱', '失忆', '真相与谎言']","[9.0, 8.0, 8.0, 7.0]",海市蜃楼,['剧情' '爱情' '科幻' '悬疑' '惊悚'],2018,['奥里奥尔·保罗'],"['梦想与现实', '时间错乱', '身份迷失', '真相与谎言']"
252,3o56brnhunm5bwx,"['传统与现代', '成长与自我发现', '勇气与决定', '真诚与友谊', '文化冲突', '适应与融入']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",西游记之大圣归来,['奇幻' '剧情' '动画'],2015,['田晓鹏'],"['传统与现代', '成长与自我发现', '勇敢与决心', '友谊', '文化冲突', '适应与融入']"
253,5h9ee07nbsaaddi,"['友情与成长', '勇气与决心', '家庭与团圆', '奇幻世界', '冒险精神']","[10.0, 9.0, 8.0, 7.0, 6.0]",恐龙当家,['冒险' '喜剧' '动画' '家庭'],2015,['彼得·索恩'],"['亲情与成长', '勇敢与决心', '家庭与团圆', '奇幻世界', '冒险精神']"
254,we0v1e4gwbyz0et,"['友谊', '勇气', '魔法世界', '成长', '信任', '冒险精神']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",哈利·波特与密室,['奇幻' '冒险' '悬疑'],2002,['克里斯·哥伦布'],"['友谊', '勇气与决定', '神奇动物与魔法世界', '成长与自我发现', '信任与背叛', '冒险精神']"
255,71bctb897dwx46m,"['人类与自然的关系', '生存与挑战', '勇气与冒险', '团队合作', '神秘与恐惧', '探索与冒险']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",金刚：骷髅岛,['奇幻' '冒险' '动作' '科幻'],2017,['乔丹·沃格特' '罗伯茨'],"['人类与自然的关系', '生存与挑战', '勇气与决定', '团结与合作', '神秘与恐惧', '挑战与冒险']"
256,777ghazyu5gty9r,"['友谊', '青春与成长', '困境与挑战', '教育', '成长与自我发现']","[9.5, 9.0, 8.5, 8.0, 7.5]",逃学威龙2,['喜剧' '搞笑'],1992,['陈嘉上'],"['友谊', '亲情与成长', '生存与挑战', '教育', '成长与自我发现']"
257,mzc00200mnqbh32,"['成长与自我发现', '友谊', '勇气与决定', '善恶较量', '冒险精神', '团队合作']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]",山海经之小人国,['冒险' '动画' '儿童' '家庭'],2018,['凯文·门罗' '克里斯蒂安·坎普'],"['成长与自我发现', '友谊', '勇敢与决心', '善恶较量', '冒险精神', '团结与合作']"
258,84cu4uxrkzi0e60,['生存与挑战'],[10.0],狂暴巨兽,['冒险' '灾难' '科幻' '动作'],2018,['布拉德·佩顿'],['生存与挑战']
259,mzc00200zqstnl7,"['科技与未来', '女性力量与平等', '团结与支持', '政治与权力']","[10.0, 9.0, 8.0, 7.0]",黑豹2,['科幻' '冒险' '剧情' '动作'],,['瑞恩·库格勒'],"['科技与未来', '女性力量与平等', '团结与合作', '政治与权力']"
