,baseCid,cid,algo_type,pay_amt,sd_income,pay_amount,buy_times,duration_type,ip,ip_of_baseCid
690,bkHXBHEHSd1672803042858,eAvjxVHnBs1664440332770,trex,28.00,28.0000,28.0,5.0,月卡,,
691,TWLFYaSwzS1615262192462,dNUkdLPkci1585650051748,trex,1.00,1.0000,1.0,2.0,周卡,超级宝贝JoJo,超级宝贝JoJo
692,zOGXLpMHQc1612921864427,VdsmVKYxvL1627460813091,trex,1.00,1.0000,1.0,1.0,周卡,汪汪队,汪汪队
693,OJHqvNQnuC1662615200898,WkUZVBNcWC1610977284673,trex,1.00,1.0000,1.0,1.0,周卡,西游记,
694,ILWycbVHlc1631860202278,zKVIdRspWk1639480554932,trex,1.00,1.0000,1.0,7.0,周卡,迷你特工队,迷你特工队
695,saPqidlzFM1623226261705,jUrLXNeJYv1636635490821,trex,1.00,0.3300,1.0,2.0,周卡,,大卫
696,bImMuMlSpl1659592254340,dmyweJkfxK1605063106699,trex,28.00,4.6700,28.0,2.0,月卡,奥特曼,
697,LNTFOyQTfC1661615799239,daHbYGoqCG1601006304441,trex,19.00,19.0000,19.0,1.0,月卡,小猪佩奇,
698,uBzfsxQCEA1689058076007,nNnIOuIHvF1665364586881,trex,19.00,5.1900,19.0,3.0,月卡,,
699,TWLFYaSwzS1615262192462,dNUkdLPkci1585650051748,trex,19.00,4.7500,19.0,1.0,月卡,超级宝贝JoJo,超级宝贝JoJo
700,RqVmIZkcKv1690860161766,HgCggrKDkP1629110445085,trex,9.90,6.6000,9.9,1.0,月卡,奶龙、飞狗moco等,
701,dyILJGATFU1662601083618,DZnXRryQAT1601214717245,trex,28.00,28.0000,28.0,2.0,月卡,小猪佩奇,
702,kbMIwJkJwP1672986781650,jBFOZMiYPJ1611912236338,trex,9.90,6.6000,9.9,1.0,月卡,,
703,zZmffvSdDt1614679354222,nbyOyvVvQY1614679354016,trex,19.00,9.5000,19.0,1.0,月卡,海绵宝宝,海绵宝宝
704,iRdDTVcUVg1611236386907,rSpHAEkwVa1606974409138,trex,19.00,19.0000,19.0,1.0,月卡,奶龙、飞狗moco等,奶龙、飞狗moco等
705,FqYduKTWIw1657074073411,CYhoBYyJeQ1605063106699,trex,28.00,9.3300,28.0,1.0,月卡,奥特曼,
706,TWLFYaSwzS1615262192462,sTuXtscHGg1660283881528,trex,19.00,19.0000,19.0,1.0,月卡,,超级宝贝JoJo
707,iRdDTVcUVg1611236386907,RqVmIZkcKv1690860161766,trex,59.00,14.7500,59.0,5.0,季卡,,奶龙、飞狗moco等
708,WQHaCRISoA1683706287723,qtnBACokWm1628058824004,trex,9.90,9.9000,9.9,1.0,月卡,,
709,vBiGhdRtFY1600856680039,WbwpEjScVz1669104586882,trex,1.00,0.3300,1.0,1.0,周卡,,猪猪侠
710,IjWHshSJph1613999253797,adTzIkKFGD1656927545365,trex,1.00,1.0000,1.0,1.0,周卡,,托宝兄弟
711,zdJJsEcVXs1611317557673,LkttuGfByQ1687258543520,trex,28.00,28.0000,28.0,14.0,月卡,,益智宝贝
712,tZCndpsaOc1622791918814,lGdxjypPzW1622791917778,trex,28.00,27.9900,28.0,7.0,月卡,海绵宝宝,海绵宝宝
713,dzweDUESls1647418756548,WlJpMZIkWj1660728776348,trex,28.00,14.0000,28.0,7.0,月卡,,
714,eSGQRfLlch1672372441801,lNKHhwgTiz1622024069575,trex,1.00,0.2000,1.0,1.0,周卡,,
715,EcjztyVhJg1689303456414,DZnXRryQAT1601214717245,trex,89.00,89.0000,89.0,1.0,季卡,小猪佩奇,
716,SJrpTgiOZY1678244128983,ByMjdbFTLz1688528858213,trex,19.00,19.0000,19.0,1.0,月卡,,
717,BInVDcgprf1629197625980,lHkFpPmNSc1677751491235,trex,19.00,19.0000,19.0,1.0,月卡,,贝乐虎
718,RqVmIZkcKv1690860161766,iRdDTVcUVg1611236386907,trex,19.00,19.0000,19.0,1.0,月卡,奶龙、飞狗moco等,
719,zdJJsEcVXs1611317557673,dNUkdLPkci1585650051748,trex,1.00,1.0000,1.0,1.0,周卡,超级宝贝JoJo,益智宝贝
720,TtciwGsoht1602559136932,RiVjULevgu1678950089445,trex,28.00,28.0000,28.0,8.0,月卡,,
721,HHWogIUeqK1611912236143,TLmTqsjVel1631023189159,trex,1.00,1.0000,1.0,1.0,周卡,,
722,YxZosVLdrc1612689195477,MnMnKbICFQ1677035322715,trex,28.00,28.0000,28.0,1.0,月卡,,钢铁飞龙
723,jTSNGmlBeE1599120789033,UEMXhZPwzg1607575631956,trex,28.00,28.0000,28.0,3.0,月卡,贝乐虎,贝乐虎
724,QOVzjyUmsM1623918996634,LDaPVqJXvZ1623918997174,trex,1.00,1.0000,1.0,1.0,周卡,茁贝儿歌,茁贝儿歌
725,yIxyNQnmRO1604641798409,slWMgbEgMt1599120789021,trex,1.00,1.0000,1.0,1.0,周卡,贝乐虎,兔小贝
726,slWMgbEgMt1599120789021,DwwUHwXtog1667549510255,trex,1.00,1.0000,1.0,1.0,周卡,,贝乐虎
727,,TxwHaxEqjm1678941730402,,,1.0000,,,,,猪猪侠
728,,iRdDTVcUVg1611236386907,,,19.0000,,,,奶龙、飞狗moco等,猪猪侠
729,,XnfVJCZsjf1691143673019,,,1.0000,,,,,猪猪侠
730,,TWLFYaSwzS1615262192462,,,59.0000,,,,超级宝贝JoJo,猪猪侠
731,,VbHulUqOGv1604975827938,,,1.0000,,,,奥特曼,猪猪侠
732,,tftfYiDenv1658217865573,,,1.0000,,,,,猪猪侠
733,,QtVxlMBLWz1688620704695,,,19.0000,,,,,猪猪侠
734,TxwHaxEqjm1678941730402,DQDspNDyxy1641800046650,trex,19.00,19.0000,19.0,1.0,月卡,,
735,TxwHaxEqjm1678941730402,cJkHbeOZrt1614159028262,trex,28.00,28.0000,28.0,2.0,月卡,汽车世界,
736,pbKdDKcYZQ1672826029738,ASoBgVCQTL1640589527667,trex,19.00,19.0000,19.0,1.0,月卡,汽车世界,
737,lXHXuFyqEZ1622612154291,NXerRGtSZn1625470441167,trex,19.00,19.0000,19.0,1.0,月卡,汽车城,
738,HQxPqhSsuF1598351177549,slWMgbEgMt1599120789021,trex,28.00,28.0000,28.0,15.0,月卡,贝乐虎,贝乐虎
739,xrMozAADxb1676882387154,IsBakObEkQ1669646104647,trex,1.00,1.0000,1.0,1.0,周卡,,
740,tKAiLzMLOf1636358515487,GQZEvyUWDW1645083999830,trex,28.00,28.0000,28.0,5.0,月卡,,汽车世界
741,ljBQVzHtwm1604037148198,pjiymmdoeq1606389315912,trex,28.00,28.0000,28.0,5.0,月卡,汽车世界,汽车世界
742,acZMEasvmY1632971111574,VbHulUqOGv1604975827938,,19.00,,19.0,3.0,月卡,奥特曼,奥特曼
743,KGGJWPMdPi1642562281891,tftfYiDenv1658217865573,,1.00,1.0000,1.0,1.0,周卡,,汪汪队
744,TWLFYaSwzS1615262192462,dNUkdLPkci1585650051748,,9.90,,9.9,1.0,月卡,超级宝贝JoJo,超级宝贝JoJo
745,nmyUqVpBlr1614164299502,KGGJWPMdPi1642562281891,,28.00,,28.0,4.0,月卡,汪汪队,汪汪队
746,lzUBnlBGAk1668590833899,TxwHaxEqjm1678941730402,,1.00,1.0000,1.0,1.0,周卡,,
747,RISpVxzCeC1601006304441,VbHulUqOGv1604975827938,,28.00,,28.0,7.0,月卡,奥特曼,小猪佩奇
748,acZMEasvmY1632971111574,VbHulUqOGv1604975827938,,28.00,,28.0,2.0,月卡,奥特曼,奥特曼
749,VbHulUqOGv1604975827938,KGGJWPMdPi1642562281891,,1.00,,1.0,1.0,周卡,汪汪队,奥特曼
750,acZMEasvmY1632971111574,VbHulUqOGv1604975827938,,1.00,0.5000,1.0,1.0,周卡,奥特曼,奥特曼
751,YyjkSGNKUY1617853624490,iRdDTVcUVg1611236386907,,69.00,,69.0,3.0,季卡,奶龙、飞狗moco等,汪汪队
752,dcFXccjtWN1670988679451,TWLFYaSwzS1615262192462,,59.00,,59.0,3.0,季卡,超级宝贝JoJo,
753,MPJxFrTdVN1609897895618,jAGHvKfxCC1601282023158,,19.00,,19.0,1.0,月卡,小猪佩奇,熊出没
754,XXPOjaPFty1623117705663,dNUkdLPkci1585650051748,,59.00,,59.0,3.0,季卡,超级宝贝JoJo,汪汪队
755,sTuXtscHGg1660283881528,TxwHaxEqjm1678941730402,,19.00,,19.0,2.0,月卡,,
756,JVoihWjHow1673508086888,jAGHvKfxCC1601282023158,,19.00,,19.0,1.0,月卡,小猪佩奇,
757,MPJxFrTdVN1609897895618,QtVxlMBLWz1688620704695,,6.60,,6.6,5.0,月卡,,熊出没
758,dcFXccjtWN1670988679451,TWLFYaSwzS1615262192462,,59.00,146.0000,59.0,2.0,季卡,超级宝贝JoJo,
759,hKPsfkHDbZ1626405644163,jAGHvKfxCC1601282023158,,1.00,,1.0,1.0,周卡,小猪佩奇,大头儿子小头爸爸
760,dimaHNhjke1602313839424,dNUkdLPkci1585650051748,,19.00,,19.0,1.0,月卡,超级宝贝JoJo,小猪佩奇
761,XhRJepkTRC1641803912556,TxwHaxEqjm1678941730402,,1.00,,1.0,5.0,周卡,,汪汪队
762,vuvjOYRqRg1625796564355,TWLFYaSwzS1615262192462,,239.00,,239.0,1.0,年卡,超级宝贝JoJo,
763,zKVIdRspWk1639480554932,TWLFYaSwzS1615262192462,,28.00,146.0000,28.0,2.0,月卡,超级宝贝JoJo,迷你特工队
764,CGsgKDarfw1602735473213,KGGJWPMdPi1642562281891,,9.90,,9.9,1.0,月卡,汪汪队,托马斯小火车
765,zbPEYiXzQH1619510469724,dNUkdLPkci1585650051748,,229.00,,229.0,1.0,年卡,超级宝贝JoJo,睡衣小英雄
766,dNUkdLPkci1585650051748,TWLFYaSwzS1615262192462,,59.00,146.0000,59.0,2.0,季卡,超级宝贝JoJo,超级宝贝JoJo
767,dcFXccjtWN1670988679451,dNUkdLPkci1585650051748,,1.00,0.2000,1.0,1.0,周卡,超级宝贝JoJo,
768,RqVmIZkcKv1690860161766,iRdDTVcUVg1611236386907,,22.00,,22.0,12.0,月卡,奶龙、飞狗moco等,
769,GxJWiikUZo1658712931090,wSDiLmJBkf1611236386797,replace,28.00,18.6600,28.0,14.0,月卡,,
770,cNsdqrBPUp1638513044449,nJvaVNGrga1671080535028,replace,69.00,69.0000,69.0,2.0,季卡,,
771,TtKrLImcPi1614679352803,wNXhRFwbZe1614679353964,replace,59.00,59.0000,59.0,6.0,季卡,海绵宝宝,海绵宝宝
772,BiBNnoJqGV1624959230618,vCxcXxnJTy1599120789021,replace,19.00,19.0000,19.0,1.0,月卡,小鸡彩虹,萌鸡小队
773,sqTufNIWFr1675222700175,LTTlOUlAzC1675327478647,replace,1.00,0.5000,1.0,1.0,周卡,,
774,iXnfXrudWS1622777142225,FMUUXZhUDx1622777142364,replace,1.00,1.0000,1.0,1.0,周卡,憨豆先生,憨豆先生
775,dcvzdwivpy1650435646286,UArOJCklwW1642506641247,replace,89.00,89.0000,89.0,2.0,季卡,巴啦啦小魔仙,巴啦啦小魔仙
776,HWRufgGjTF1619589353215,ljBQVzHtwm1604037148198,replace,28.00,28.0000,28.0,8.0,月卡,汽车世界,
777,RqVmIZkcKv1690860161766,KcLUnaQzax1682498008320,replace,69.00,62.4900,69.0,7.0,季卡,,
778,GmeOFrwaYj1688966780459,doprEbqIMG1679021870345,replace,9.90,9.9000,9.9,1.0,月卡,,
779,SJrpTgiOZY1678244128983,LTTlOUlAzC1675327478647,replace,1.00,0.5000,1.0,1.0,周卡,,
780,wMnmkDzCCx1687335278901,nmsViYFPMx1680596525311,replace,55.00,54.9900,55.0,11.0,季卡,,
781,ePhYWeVzZZ1600856680039,RXqnYraUqm1672039640002,replace,28.00,28.0000,28.0,10.0,月卡,,奶龙、飞狗moco等
782,MACmOlpPzZ1681719365144,zKVIdRspWk1639480554932,replace,28.00,14.0000,28.0,2.0,月卡,迷你特工队,
783,eKaheewIAL1656318055631,vcyPwnOQjJ1660016681069,replace,1.00,1.0000,1.0,1.0,周卡,,
784,RqVmIZkcKv1690860161766,KcLUnaQzax1682498008320,replace,28.00,62.4900,28.0,7.0,月卡,,
785,COPAnoLLWG1605582357423,zKVIdRspWk1639480554932,replace,28.00,14.0000,28.0,2.0,月卡,迷你特工队,迷你特工队
786,TxwHaxEqjm1678941730402,GmTyPWFMVF1682234656368,trex,19.00,9.5000,19.0,2.0,月卡,,
787,TxwHaxEqjm1678941730402,DQDspNDyxy1641800046650,trex,19.00,19.0000,19.0,1.0,月卡,,
788,IsBakObEkQ1669646104647,GmTyPWFMVF1682234656368,trex,19.00,19.0000,19.0,3.0,月卡,,
789,KIXfInTBJn1666338977320,Bljtdzdcmw1649823761420,trex,1.00,1.0000,1.0,2.0,周卡,,
790,TxwHaxEqjm1678941730402,cJkHbeOZrt1614159028262,trex,19.00,19.0000,19.0,1.0,月卡,汽车世界,
791,tFcQJWZtHz1604545090958,FzTkiiswid1660103501913,trex,19.00,19.0000,19.0,1.0,月卡,,
792,OZGFxJdCEA1604037148197,aCnFnPnrqq1650852468659,trex,19.00,19.0000,19.0,1.0,月卡,,汽车世界
793,OZGFxJdCEA1604037148197,DqfrvgrVIy1628663920538,trex,19.00,19.0000,19.0,1.0,月卡,汽车世界,汽车世界
794,DZyfoCzVAV1640581901623,ApQkswPzZM1654872253896,trex,1.00,1.0000,1.0,1.0,周卡,,汽车世界
795,ljBQVzHtwm1604037148198,YsPThLbuEh1641348662688,trex,55.00,55.0000,55.0,2.0,季卡,汽车世界,汽车世界
796,wdIZnLoVAZ1637670631371,ysyPdbRHxJ1655720597049,trex,1.00,1.0000,1.0,1.0,周卡,,汽车世界
797,ysyPdbRHxJ1655720597049,wdIZnLoVAZ1637670631371,replace,1.00,1.0000,1.0,1.0,周卡,汽车世界,
798,RqVmIZkcKv1690860161766,iRdDTVcUVg1611236386907,,19.00,28.0000,19.0,14.0,月卡,奶龙、飞狗moco等,
799,IMkWsGSwOO1663666745726,TWLFYaSwzS1615262192462,,28.00,,28.0,1.0,月卡,超级宝贝JoJo,
800,dNUkdLPkci1585650051748,TWLFYaSwzS1615262192462,,28.00,28.0000,28.0,2.0,月卡,超级宝贝JoJo,超级宝贝JoJo
801,NeBzRSmxnm1628047578871,jAGHvKfxCC1601282023158,,6.60,,6.6,3.0,月卡,小猪佩奇,小猪佩奇
802,RqVmIZkcKv1690860161766,jAGHvKfxCC1601282023158,,59.00,,59.0,2.0,季卡,小猪佩奇,
803,QtVxlMBLWz1688620704695,QtVxlMBLWz1688620704695,,28.00,,28.0,3.0,月卡,,
804,dNUkdLPkci1585650051748,TWLFYaSwzS1615262192462,,1.00,,1.0,1.0,周卡,超级宝贝JoJo,超级宝贝JoJo
805,vJOEicGMxI1648458688185,QtVxlMBLWz1688620704695,,28.00,,28.0,16.0,月卡,,
806,nYEMplklQc1602841597268,tFcQJWZtHz1604545090958,,19.00,,19.0,1.0,月卡,,芭比
807,iwBMvInumP1661852642779,TWLFYaSwzS1615262192462,,1.00,,1.0,1.0,周卡,超级宝贝JoJo,
808,FKCqositcg1690770622266,QtVxlMBLWz1688620704695,,19.00,,19.0,5.0,月卡,,
809,THpNpyuawS1605063106699,KGGJWPMdPi1642562281891,,19.00,,19.0,1.0,月卡,汪汪队,奥特曼
810,SZOSBUSxIU1660716345339,iRdDTVcUVg1611236386907,,19.00,22.0000,19.0,1.0,月卡,奶龙、飞狗moco等,
811,YkudkIMUYK1634542873334,VbHulUqOGv1604975827938,,55.00,,55.0,1.0,季卡,奥特曼,
812,HHWogIUeqK1611912236143,iRdDTVcUVg1611236386907,,1.00,,1.0,2.0,周卡,奶龙、飞狗moco等,
813,YsPThLbuEh1641348662688,jAGHvKfxCC1601282023158,,69.00,,69.0,13.0,季卡,小猪佩奇,汽车世界
814,COPAnoLLWG1605582357423,TWLFYaSwzS1615262192462,,28.00,,28.0,16.0,月卡,超级宝贝JoJo,迷你特工队
815,HgCggrKDkP1629110445085,iRdDTVcUVg1611236386907,,19.00,,19.0,1.0,月卡,奶龙、飞狗moco等,奶龙、飞狗moco等
816,RqVmIZkcKv1690860161766,iRdDTVcUVg1611236386907,,1.00,,1.0,3.0,周卡,奶龙、飞狗moco等,
817,eFzkwKuGUi1657780150990,TxwHaxEqjm1678941730402,,1.00,,1.0,1.0,周卡,,
818,acZMEasvmY1632971111574,iRdDTVcUVg1611236386907,,28.00,,28.0,1.0,月卡,奶龙、飞狗moco等,奥特曼
819,sTuXtscHGg1660283881528,TWLFYaSwzS1615262192462,,55.00,,55.0,2.0,季卡,超级宝贝JoJo,
820,mfcqCTsFUu1656919393239,iRdDTVcUVg1611236386907,,55.00,,55.0,3.0,季卡,奶龙、飞狗moco等,
821,acZMEasvmY1632971111574,iRdDTVcUVg1611236386907,,28.00,,28.0,4.0,月卡,奶龙、飞狗moco等,奥特曼
822,dcFXccjtWN1670988679451,TWLFYaSwzS1615262192462,,19.00,19.0000,19.0,1.0,月卡,超级宝贝JoJo,
823,jrBIzurAEP1679035460357,iRdDTVcUVg1611236386907,,28.00,,28.0,3.0,月卡,奶龙、飞狗moco等,
824,acZMEasvmY1632971111574,VbHulUqOGv1604975827938,,1.00,0.3300,1.0,1.0,周卡,奥特曼,奥特曼
825,RqVmIZkcKv1690860161766,iRdDTVcUVg1611236386907,,28.00,28.0000,28.0,2.0,月卡,奶龙、飞狗moco等,
826,DGFAIDIqGH1600322877228,iRdDTVcUVg1611236386907,,1.00,,1.0,1.0,周卡,奶龙、飞狗moco等,爆笑虫子
827,VNJkxQHFny1656470142305,iRdDTVcUVg1611236386907,,9.90,,9.9,1.0,月卡,奶龙、飞狗moco等,
828,dyILJGATFU1662601083618,WtQiXszITT1628070668771,trex,1.00,1.0000,1.0,1.0,周卡,小猪佩奇,
829,kFGfxZaAzC1618286686548,VpdNAXROau1603880724161,trex,6.60,6.6000,6.6,1.0,月卡,海底小纵队,海底小纵队
830,amLNMvgFaG1655887639332,NaRZEqSdpa1616395228111,trex,1.00,1.0000,1.0,2.0,周卡,猪猪侠,
831,dlrthJuZYw1622791915918,LWomczQMzN1622791915343,trex,28.00,18.6600,28.0,20.0,月卡,,
832,rJdwVasGff1682500608404,oeXiwxCEmm1682499792605,trex,9.90,4.9600,9.9,1.0,月卡,,
833,acZMEasvmY1632971111574,aCEOvNYFXj1605249489173,trex,19.00,19.0000,19.0,11.0,月卡,奥特曼,奥特曼
834,nJvaVNGrga1671080535028,JFeZFjYhsY1684742114194,trex,28.00,28.0000,28.0,4.0,月卡,,
835,ASAStUhOzd1679021778296,rFNKybOSeZ1679021746927,trex,55.00,55.0000,55.0,20.0,季卡,,
836,lDAgyXHvFY1683337201524,GgiLMrSyJz1689242116239,trex,59.00,59.0000,59.0,6.0,季卡,,
837,nmyUqVpBlr1614164299502,zOGXLpMHQc1612921864427,trex,28.00,28.0000,28.0,1.0,月卡,汪汪队,汪汪队
838,JVoihWjHow1673508086888,IQpYYTfeFd1645076577223,trex,1.00,0.5000,1.0,1.0,周卡,,
839,deVkWifQrs1675827849201,RGgZZvpAnT1676859490025,trex,28.00,28.0000,28.0,5.0,月卡,,
840,nXGjheffqn1666770318953,kwmMztMKCr1684139625983,trex,59.00,59.0000,59.0,6.0,季卡,,
841,MyMogneyoR1667815716762,UaLivpRzDw1685583334164,trex,1.00,1.0000,1.0,3.0,周卡,,
842,eFzkwKuGUi1657780150990,MrDcgyJZPA1638155725888,trex,1.00,1.0000,1.0,1.0,周卡,,
843,HWRufgGjTF1619589353215,jsplXPgXrD1610370360828,trex,59.00,59.0000,59.0,2.0,季卡,,
844,KhsqGHtMdf1618908958627,bkHXBHEHSd1672803042858,trex,239.00,239.0000,239.0,1.0,年卡,,喜羊羊与灰太狼
845,TJxdnvCCjo1654570287681,RfJfgkbMTy1620798057392,trex,19.00,9.5000,19.0,1.0,月卡,彩虹宝宝,
846,hpqgSCJoSl1682393454765,wxymBqFvqn1673440600121,trex,28.00,28.0000,28.0,8.0,月卡,,
847,dcFXccjtWN1670988679451,WGDvBHqoSK1660728042724,trex,19.00,19.0000,19.0,1.0,月卡,,
848,OqMoGDSgQv1673422634419,vjAHzzUyyH1670483964791,trex,69.00,69.0000,69.0,8.0,季卡,,
849,VdmuznpcYY1649838490583,eEYPJWEAkn1649833344393,trex,1.00,1.0000,1.0,1.0,周卡,,
850,DumYuiyoPO1679971009368,UrJpABOvvQ1659080866024,trex,89.00,89.0000,89.0,7.0,季卡,,
851,ZVSQsnsBXs1606389315913,IoSFlzPhXu1677721011182,trex,19.00,19.0000,19.0,1.0,月卡,,
852,blPWjKgZja1639977621914,sxKslwyKAc1652685260396,trex,19.00,19.0000,19.0,1.0,月卡,,开心超人
853,jrBIzurAEP1679035460357,GExqbHJUww1681277445890,trex,19.00,19.0000,19.0,1.0,月卡,,
854,sqTufNIWFr1675222700175,DGFAIDIqGH1600322877228,trex,9.90,9.9000,9.9,1.0,月卡,爆笑虫子,
855,vuvjOYRqRg1625796564355,YLdPMFfCYq1641886501615,trex,1.00,1.0000,1.0,2.0,周卡,,
856,kUZDZXCVaQ1668669418407,OSWlvsqcAG1613999253476,trex,19.00,19.0000,19.0,1.0,月卡,托宝兄弟,
857,SJrpTgiOZY1678244128983,ByMjdbFTLz1688528858213,trex,66.00,66.0000,66.0,1.0,季卡,,
858,FqYduKTWIw1657074073411,VNJkxQHFny1656470142305,trex,1.00,0.5000,1.0,2.0,周卡,,
859,GcKMLWAbFw1609897895618,EsrkVjomSw1663720561791,trex,28.00,28.0000,28.0,14.0,月卡,,
860,HLRSnvLJlW1657591005989,iiMveqCDFE1664160118771,trex,1.00,1.0000,1.0,1.0,周卡,,
861,dyILJGATFU1662601083618,LNTFOyQTfC1661615799239,trex,89.00,89.0000,89.0,3.0,季卡,,
862,HgCggrKDkP1629110445085,EtoGwzMkmD1673259220418,trex,19.00,19.0000,19.0,1.0,月卡,,奶龙、飞狗moco等
863,iKibTTGiih1601214717245,DZnXRryQAT1601214717245,trex,1.00,1.0000,1.0,2.0,周卡,小猪佩奇,小猪佩奇
864,tYmxOqASVi1676865807136,GJwQYyYRWT1606136692129,trex,1.00,1.0000,1.0,1.0,周卡,,
865,TWLFYaSwzS1615262192462,dNUkdLPkci1585650051748,trex,19.00,6.3300,19.0,1.0,月卡,超级宝贝JoJo,超级宝贝JoJo
866,OJHqvNQnuC1662615200898,WkUZVBNcWC1610977284673,trex,28.00,28.0000,28.0,2.0,月卡,西游记,
867,dNUkdLPkci1585650051748,TWLFYaSwzS1615262192462,trex,55.00,27.5000,55.0,2.0,季卡,超级宝贝JoJo,超级宝贝JoJo
868,BSXmafdGgF1659951344674,BoWoraPOun1606904511724,trex,1.00,1.0000,1.0,1.0,周卡,,
869,dNUkdLPkci1585650051748,CbhSAfsajB1645413503066,trex,19.00,12.6600,19.0,1.0,月卡,,超级宝贝JoJo
870,YIszCHmVtS1648097699328,ZWFuETWnev1642060745283,trex,1.00,1.0000,1.0,2.0,周卡,,
871,wNXhRFwbZe1614679353964,MoBswTjKHG1681278702984,trex,19.00,19.0000,19.0,3.0,月卡,,海绵宝宝
872,QtVxlMBLWz1688620704695,SMtoQdOruB1660875650065,trex,19.00,19.0000,19.0,1.0,月卡,,
873,jeXkANIHVC1672813299745,kwmMztMKCr1684139625983,trex,1.00,1.0000,1.0,2.0,周卡,,
874,MYqzwTgTUJ1670464318083,HTzlrpzuJO1683191028027,trex,19.00,4.7500,19.0,1.0,月卡,,
875,EcjztyVhJg1689303456414,dyILJGATFU1662601083618,trex,1.00,1.0000,1.0,1.0,周卡,,
876,tLKKIXdAiz1627042189927,IATIkbioSb1660039195591,trex,1.00,1.0000,1.0,2.0,周卡,,
877,gEYwgkfyJV1641286011027,YwWczrljLP1652836597044,trex,28.00,28.0000,28.0,15.0,月卡,,萌鸡小队
878,jjWRByWdXY1600773805774,urilrTiBOB1659060783925,trex,19.00,19.0000,19.0,1.0,月卡,,精灵梦叶罗丽
879,scPdKzoeGO1632967295874,RfJfgkbMTy1620798057392,trex,49.00,16.3300,49.0,1.0,季卡,彩虹宝宝,彩虹宝宝
880,tftfYiDenv1658217865573,RqVmIZkcKv1690860161766,trex,19.00,19.0000,19.0,1.0,月卡,,
881,jdQEqvkQOg1666159529634,MmKQGSiPkf1648617256421,trex,28.00,28.0000,28.0,17.0,月卡,,
882,CMgKnoHaXJ1680084109976,tWjjVFvMiB1669857257170,trex,28.00,28.0000,28.0,2.0,月卡,,
883,jAGHvKfxCC1601282023158,RISpVxzCeC1601006304441,trex,19.00,19.0000,19.0,1.0,月卡,小猪佩奇,小猪佩奇
884,LTTlOUlAzC1675327478647,sqTufNIWFr1675222700175,trex,6.60,1.3200,6.6,2.0,月卡,,
885,NeBzRSmxnm1628047578871,mvMmXYZncl1601214717245,trex,1.00,1.0000,1.0,1.0,周卡,小猪佩奇,小猪佩奇
886,lsiWiSaNaU1646643580949,EaADkjjXbF1679626469516,trex,28.00,28.0000,28.0,2.0,月卡,,
887,fjHfNtkMSF1683188312819,oeXiwxCEmm1682499792605,trex,9.90,4.9600,9.9,1.0,月卡,,
888,RWyAFZcnOD1680163707601,IcESfMhBYY1680156420347,trex,1.00,1.0000,1.0,1.0,周卡,,
889,kekEEVkiKA1602483763244,bUzhPZQqET1624011393730,trex,1.00,0.5000,1.0,1.0,周卡,萌牙兔,萌牙兔
890,VcRbvPwZki1604456691700,beOwjOeuVV1625105331819,trex,19.00,19.0000,19.0,1.0,月卡,托马斯小火车,托马斯小火车
891,iRdDTVcUVg1611236386907,rSpHAEkwVa1606974409138,trex,1.00,0.3300,1.0,1.0,周卡,奶龙、飞狗moco等,奶龙、飞狗moco等
892,dyILJGATFU1662601083618,mvMmXYZncl1601214717245,trex,1.00,1.0000,1.0,2.0,周卡,小猪佩奇,
893,JVoihWjHow1673508086888,tvKHeFpZUI1649920390761,trex,1.00,0.5000,1.0,1.0,周卡,,
894,zPaJJaguiM1623918999217,PWWolQaGqO1623918998405,trex,59.00,59.0000,59.0,2.0,季卡,茁贝车,
895,froOclOzWi1605861324857,hskiPnscTO1659684093323,trex,9.90,9.9000,9.9,1.0,月卡,,
896,xGOuQqrDhj1672030794752,YLdPMFfCYq1641886501615,trex,1.00,1.0000,1.0,1.0,周卡,,
897,YhMzJzuquN1618986185882,fyuhDcezlV1648535282528,trex,28.00,28.0000,28.0,8.0,月卡,,蜡笔小新
898,GZbqbegduw1641972541356,tvKHeFpZUI1649920390761,trex,1.00,0.5000,1.0,1.0,周卡,,喜羊羊与灰太狼
899,PpQaqSEUrF1681277626970,oeXiwxCEmm1682499792605,trex,9.90,2.4800,9.9,1.0,月卡,,
900,sqTufNIWFr1675222700175,FQrStorSSe1623918331569,trex,1.00,1.0000,1.0,1.0,周卡,跳跳鱼世界,
901,iRdDTVcUVg1611236386907,eUxygqQdyi1646301732660,trex,59.00,59.0000,59.0,7.0,季卡,,奶龙、飞狗moco等
902,jyOzbczmax1634633008636,VUbIzUuBOY1635754254997,trex,28.00,28.0000,28.0,4.0,月卡,,
903,HgCggrKDkP1629110445085,RqVmIZkcKv1690860161766,trex,19.00,19.0000,19.0,1.0,月卡,,奶龙、飞狗moco等
904,LNTFOyQTfC1661615799239,dyILJGATFU1662601083618,trex,1.00,0.6600,1.0,1.0,周卡,,
905,DGFAIDIqGH1600322877228,ByMjdbFTLz1688528858213,trex,28.00,14.0000,28.0,2.0,月卡,,爆笑虫子
906,vuvjOYRqRg1625796564355,VnukKzayCX1672030917761,trex,28.00,28.0000,28.0,13.0,月卡,,
907,xWsOlmOHcQ1647414416757,FOTQulRtlz1627630107046,trex,28.00,14.0000,28.0,9.0,月卡,,
908,dimaHNhjke1602313839424,iuuPKqeEHq1640759390460,trex,59.00,59.0000,59.0,3.0,季卡,小猪佩奇,小猪佩奇
