,aid,title,year,types,themes_cleaned,scores_cleaned,emotion_tags_cut,emotion_scores_cut,emo_size,theme_size
130,hjdb95f8lxcyyew,超能陆战队,2014,['搞笑' '动作' '喜剧' '科幻' '冒险' '动画'],"['科技与未来', '团队合作', '人工智能']","[10.0, 9.0, 8.0]","['喜悦', '欢乐', '振奋', '好奇', '悲痛', '失落', '意外', '沉重']","[3.6, 3.2, 2.8, 2.7, 2.7, 2.4, 2.1, 2.1]",8,3
131,h0meep6p766jgqh,盗梦空间,2010,['悬疑' '冒险' '剧情' '科幻'],"['信任与背叛', '团队合作']","[9.0, 8.0]",[],[],0,2
132,mzc00200di1sr5i,犯罪现场,2019,['悬疑' '惊悚' '剧情' '犯罪'],"['犯罪与黑帮', '困境与挑战', '警察与侦探']","[10.0, 9.0, 8.0]",[],[],0,3
133,ndo1zbke1kg3sr6,格杀令,1993,['犯罪' '冒险' '剧情' '动作'],"['信任与背叛', '暗杀与黑暗世界', '正义与清明']","[10.0, 9.0, 8.0]",[],[],0,3
134,mzc00200kqecmvk,新神榜：哪吒重生,2021,['奇幻' '动画' '动作'],"['成长与自我发现', '家庭与团圆', '友谊']","[9.0, 8.0, 8.0]",[],[],0,3
135,tj6ck0cxgfqegm9,第一滴血3,1988,['冒险' '战争' '动作' '惊悚'],"['牺牲与奉献', '勇气与冒险', '忠诚与承诺']","[10.0, 9.0, 8.0]",[],[],0,3
136,xjwobi65jpwkwfq,小兵张嘎,1964,['战争' '剧情' '儿童' '家庭'],"['忠诚与团结', '勇气与冒险', '团队合作']","[10.0, 9.0, 8.0]",['爱国'],[2.8],1,3
137,mzc00200enuvthu,极盗行动,2020,['喜剧' '犯罪'],"['团队合作', '犯罪与黑帮', '正义与邪恶']","[10.0, 9.0, 8.0]",[],[],0,3
138,e18rfth1chm0gdw,女王的柯基,2019,['喜剧' '动画'],"['友谊', '忠诚', '自信']","[10.0, 9.0, 8.0]",['治愈'],[3.5],1,3
139,pb69zpzabgg1t7n,哈利·波特与魔法石,2001,['奇幻' '冒险' '家庭'],"['友谊', '勇气与冒险', '成长与自我发现']","[10.0, 9.0, 9.0]",[],[],0,3
140,tk3l27paq7sqr0z,唐人街探案3,2021,['悬疑' '喜剧' '犯罪' '搞笑'],"['团队合作', '友谊', '信任与背叛']","[10.0, 9.0, 8.0]","['欢乐', '幽默', '喜悦']","[9.0, 8.0, 7.0]",3,3
141,lvxqk7s7yynbdba,谍影重重5,2016,['悬疑' '惊悚' '剧情' '动作'],"['信任与背叛', '政治与权力', '身份追寻']","[10.0, 9.0, 8.0]","['紧张', '压抑', '壮志', '敬意']","[5.0, 4.5, 4.5, 4.0]",4,3
142,u1xi7nmbxnl6ton,乱战,2005,['剧情' '动作' '悬疑' '惊悚' '犯罪'],"['复仇与救赎', '信任与背叛']","[10.0, 9.0]",[],[],0,2
143,mzc00200opc9kuh,坏蛋联盟,2022,['冒险' '喜剧' '动画'],"['友谊', '成长与自我发现', '团队合作']","[10.0, 9.0, 8.0]","['欢乐', '幽默']","[9.0, 9.0]",2,3
144,mzc002006uyayga,棺山古墓,2022,['冒险' '恐怖' '动作'],"['探险与冒险', '阴谋与权谋', '勇气与决断']","[10.0, 9.0, 8.0]",['诡异'],[5.6],1,3
145,mzc00200bmxe3ek,摸金玦之守护人,2021,['冒险' '动作' '惊悚'],"['探险精神', '家族秘密', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
146,96sxjj429lictza,蜘蛛侠：英雄远征,2019,['冒险' '科幻' '动作'],"['英雄与责任', '团队合作']","[10.0, 8.0]","['失落', '震惊']","[4.8, 4.2]",2,2
147,f7pqur8uhmzltps,环太平洋：雷霆再起,2018,['冒险' '灾难' '科幻' '动作'],"['人类与机器人的关系', '生存与挑战', '团队合作']","[10.0, 9.0, 8.0]","['壮志', '焦虑', '荣耀', '紧张']","[4.5, 4.0, 4.0, 3.5]",4,3
148,2tk2e2v12j4jcm5,哈利波特全集,2017,,"['友情与成长', '勇气与冒险', '魔法与传说']","[10.0, 9.0, 9.0]",[],[],0,3
149,mzc00200t5tzp1v,英雄连,2020,['战争' '历史'],"['团结', '信念与坚持', '勇气与牺牲']","[10.0, 9.0, 9.0]","['痛苦', '悲伤']","[2.667, 2.667]",2,3
150,mzc00200yeok672,白垩纪世界,2022,['科幻' '冒险' '动作'],"['生存与挑战', '团队合作', '真相与谎言']","[10.0, 9.0, 8.0]",['紧张'],[5.0],1,3
151,mzc00200pujeihd,笨鸟大冒险,2022,['冒险' '动画'],"['成长与自我发现', '友谊', '自信']","[10.0, 9.0, 8.0]","['孤独', '温暖', '无助']","[4.5, 4.0, 4.0]",3,3
152,mzc00200ygsy2b8,魔法精灵,2022,['奇幻' '冒险' '动画'],"['友谊', '成长与自我发现', '团队合作']","[10.0, 9.0, 8.0]",['友爱'],[5.4],1,3
153,mzc002007i5ipo2,特级英雄黄继光,2022,['传记' '战争' '剧情'],"['牺牲和奉献', '勇气与冒险', '忠诚与承诺']","[10.0, 9.0, 9.0]","['惨烈', '爱国']","[3.06, 2.97]",2,3
154,hajvc8bx6x1ikhj,第一滴血2,1985,['惊悚' '冒险' '动作' '战争'],"['忠诚与承诺', '勇气与冒险', '复仇与救赎']","[10.0, 9.0, 8.0]","['痛苦', '残暴', '压迫', '壮志']","[3.06, 2.97, 2.72, 2.38]",4,3
155,os7pc1allqs7luc,阴阳先生之末代天师,2016,['冒险' '剧情' '喜剧' '搞笑'],"['阴阳冲突', '神秘与恐惧']","[10.0, 9.0]","['欢乐', '紧张']","[4.5, 3.5]",2,2
156,mzc002009e5o3hm,这个杀手不太冷静,2022,['喜剧'],"['竞争与合作', '成长与自我发现']","[10.0, 9.0]",[],[],0,2
157,w3ul47d11rav8ks,黑猫警长之翡翠之星,2015,['动作' '喜剧' '儿童' '科幻' '动画'],"['正义与清明', '团队合作', '勇气与冒险']","[10.0, 9.0, 8.0]","['喜悦', '紧张', '幸福', '欢乐', '焦虑']","[4.5, 4.5, 4.0, 3.5, 3.5]",5,3
158,mzc00200dxhbjfd,重启之深渊疑冢,2022,['悬疑' '冒险' '动作'],"['团队合作', '探索与冒险', '勇气与冒险']","[10.0, 9.0, 9.0]",[],[],0,3
159,mzc00200mjy32e7,新神榜：杨戬,2022,['奇幻' '冒险' '动画' '动作'],"['亲情与成长', '家庭与团圆', '忠诚与承诺']","[10.0, 9.0, 8.0]",['痛苦'],[3.6],1,3
160,ejprmxuo5ys196v,至尊三十六计之偷天换日,1993,['喜剧' '动作'],"['江湖武侠', '困境与挑战', '欺诈与智慧']","[10.0, 9.0, 9.0]","['欢乐', '幽默', '轻松']","[9.0, 8.0, 7.0]",3,3
161,coqnq6i120wojq6,复仇者联盟3：无限战争,2018,['奇幻' '冒险' '科幻' '动作'],"['团队合作', '牺牲与奉献', '勇气与决心']","[10.0, 9.0, 8.0]",['惨烈'],[2.64],1,3
162,p9l8hn1lhz5boyu,狙击者,2018,['犯罪' '动作'],"['正义与清明', '信任与背叛', '勇气与决断']","[10.0, 9.0, 8.0]",[],[],0,3
163,j8dmsydnfx63zd6,狄仁杰之通天帝国(环绕声版),2010,['动作' '悬疑' '武侠' '历史' '古装'],"['忠诚与承诺', '阴谋与权谋']","[9.0, 8.0]","['荣耀', '爱国', '惨烈', '压迫']","[3.6, 3.2, 2.8, 2.7]",4,2
164,mzc00200tuzau15,前哨,2019,['战争' '剧情' '历史'],"['牺牲和奉献', '勇气与冒险', '忠诚与团结']","[10.0, 9.0, 8.0]","['惨烈', '爱国']","[2.38, 2.31]",2,3
165,mzc00200yt0bu15,长空之王,2022,['剧情'],"['团队合作', '勇气与冒险']","[10.0, 9.0]",['爱国'],[3.2],1,2
166,zl1gbksebsq5329,一个人的武林（环绕声版）,2014,['犯罪' '惊悚' '剧情' '动作'],"['家庭破裂与重建', '正义与犯罪', '信任与背叛']","[10.0, 9.0, 8.0]","['悲伤', '惨烈']","[4.0, 3.5]",2,3
167,mzc002007wfqxp8,民间怪谈录之走阴人,2022,['悬疑' '惊悚' '恐怖'],"['灵异现象', '阴阳冲突']","[10.0, 9.0]","['诡异', '压抑']","[6.75, 5.25]",2,2
168,mzc00200kcaeqru,大鲨鱼,2020,['灾难' '惊悚'],"['生存与挑战', '环境与自然', '灾难与生存']","[10.0, 9.0, 8.0]",[],[],0,3
169,yif0jd9g6tpngcw,百团大战,2015,['战争' '历史'],"['民族抗战与团结', '勇气与牺牲']","[10.0, 9.0]","['爱国', '惨烈']","[3.0, 2.667]",2,2
170,mzc00200czwrokj,喜羊羊与灰太狼之筐出未来,2022,['运动' '喜剧' '动画'],"['团队合作', '勇气与决断', '运动精神']","[10.0, 9.0, 8.0]","['友爱', '鼓舞']","[4.0, 3.5]",2,3
171,mzc00200otibal3,扫黑·决战,2021,['剧情' '犯罪' '动作'],"['正义与清明', '勇气与决断', '警察与侦探']","[10.0, 9.0, 9.0]",[],[],0,3
172,mzc00200qv892j3,万里归途,2022,['战争' '剧情'],"['民族抗战与团结', '勇气与牺牲']","[9.0, 8.0]",['惨烈'],[1.0],1,2
173,mzc0020009mj4p1,检察风云,2022,['悬疑' '剧情' '犯罪'],"['正义与罪恶', '真相与谎言']","[10.0, 8.0]",['惨烈'],[3.5],1,2
174,iqwvbujgzj5obv1,蜘蛛侠：英雄归来,2017,['冒险' '科幻' '动作'],"['成长与自我发现', '英雄与责任', '勇气与决断']","[10.0, 9.0, 9.0]",[],[],0,3
175,c2seabnsfozypl8,星际穿越,2014,['短片' '冒险' '纪录片' '科幻'],"['生存与挑战', '科技与未来', '家庭与团圆']","[10.0, 9.0, 8.0]",[],[],0,3
176,mzc002000y0q8uy,独行月球,2022,['喜剧' '科幻'],"['生存与挑战', '勇气与决断', '科技与未来']","[10.0, 9.0, 8.0]","['欢乐', '喜悦', '幽默', '意外', '失落', '好奇', '孤独', '遗憾']","[3.6, 3.2, 2.8, 2.7, 2.7, 2.4, 2.4, 2.1]",8,3
177,og0eputlxwet1cn,我不是药神,2018,['剧情' '喜剧'],"['信任与背叛', '生死抉择']","[10.0, 9.0]","['感动', '无助', '焦虑', '失落']","[4.5, 4.5, 4.0, 4.0]",4,2
178,i07rixiqrz15irl,狂野目标,2010,['喜剧' '犯罪' '动作'],"['正义与邪恶', '真诚与友谊', '自我发现']","[10.0, 9.0, 8.0]","['幽默', '欢乐', '轻松', '痛苦', '好奇', '紧张']","[3.6, 3.2, 2.8, 2.4, 2.1, 2.1]",6,3
179,xq40wik5tkvqcrv,警车联盟,2018,['亲情' '冒险' '动画'],"['团队合作', '勇敢面对困境', '诚实与信任']","[10.0, 9.0, 8.0]","['友爱', '温馨']","[4.5, 4.0]",2,3
180,mzc00200ecikjhl,贝肯熊2：金牌特工,2021,['冒险' '纪录片' '动画'],"['自信', '团队合作', '动物与人类和谐共处']","[10.0, 9.0, 8.0]",[],[],0,3
181,mzc002002adpp50,逃出白垩纪,,['惊悚' '冒险' '科幻'],"['生存与挑战', '团队合作']","[10.0, 8.0]",[],[],0,2
182,t2t7544bcr1pw8r,唐人街探案2,2018,['搞笑' '剧情' '动作' '喜剧' '悬疑' '犯罪'],"['合作精神', '勇气与决断', '智慧与谜题']","[10.0, 9.0, 8.0]","['欢乐', '喜悦', '兴奋']","[4.5, 4.0, 3.5]",3,3
183,egdwirgvj9yvfzm,野人族女王,2017,['悬疑' '动作'],"['女性力量与平等', '自我发现', '勇气与决断']","[9.0, 8.0, 8.0]",[],[],0,3
184,dvp1mm6u6kxshuf,无名战士,2017,['战争' '剧情' '历史'],"['勇气与牺牲', '民族抗战与团结', '忠诚与承诺']","[10.0, 10.0, 9.0]","['爱国', '惨烈']","[3.0, 3.0]",2,3
185,ciwsbplwbrje0gt,钢铁侠,2008,['剧情' '动作' '惊悚' '科幻' '冒险'],"['科技与未来', '自我成长', '人性']","[10.0, 9.0, 8.0]",[],[],0,3
186,mzc002003q3gvl8,罗布泊之九龙天棺,2020,['奇幻' '冒险' '动作'],"['探险精神', '勇气与决断', '神秘与恐惧']","[10.0, 9.0, 8.0]",[],[],0,3
187,lt0w27nj9tpfllw,新喜剧之王,2019,['剧情' '喜剧'],"['逆境成长', '自我发现', '勇敢面对困境']","[10.0, 9.0, 9.0]","['喜悦', '压抑']","[3.6, 2.8]",2,3
188,7g0jlcbwbuay8q2,欢乐好声音,2016,['歌舞' '喜剧' '音乐' '动画'],"['成长与自我发现', '友谊', '梦想与现实']","[10.0, 9.0, 8.0]",['欢乐'],[5.0],1,3
189,mzc00200ets769l,大蛇王,2022,['灾难' '惊悚'],"['生死抉择', '勇气与决断', '挑战']","[10.0, 9.0, 8.0]",[],[],0,3
190,9g0qaxqkl2ctb2t,前任2：备胎反击战,2015,['喜剧' '爱情'],"['友谊', '自我发现']","[9.0, 8.0]","['幽默', '欢笑', '喜悦']","[6.0, 5.4, 4.8]",3,2
191,igy79xk26amdv6z,招魂,2013,['悬疑' '惊悚' '恐怖'],"['灵异现象', '阴阳冲突', '真相与谎言']","[10.0, 9.0, 8.0]",[],[],0,3
192,mzc00200tjx10w4,深海巨蟒,,['悬疑' '灾难' '剧情' '冒险'],"['生死抉择', '团队合作', '勇气与决断']","[10.0, 9.0, 8.0]",[],[],0,3
193,mzc0020021sbml5,比得兔2：逃跑计划,2021,['奇幻' '冒险' '喜剧' '动画'],"['成长与自我发现', '友谊', '自然与环境保护']","[10.0, 9.0, 8.0]","['欢乐', '快乐', '欢笑']","[4.0, 3.6, 3.2]",3,3
194,yetppr64a8gwrgz,敢死队2,2012,['动作' '惊悚' '战争' '冒险' '犯罪'],"['团队合作', '勇气与决断', '信任与背叛']","[10.0, 9.0, 8.0]",['惨烈'],[3.06],1,3
195,mzc00200myum1yh,猫和老鼠：西部大冒险,,['冒险' '剧情' '动画'],"['团队合作', '勇敢面对困境']","[10.0, 8.0]","['欢乐', '喜悦']","[4.5, 4.0]",2,2
196,jkxldo6czqaxz7f,深海,2023,['奇幻' '动画'],"['成长与自我发现', '神秘与恐惧', '人与自然的关系']","[10.0, 9.0, 9.0]",['治愈'],[3.5],1,3
197,mzc00200jblzlgz,重装战警,2022,['犯罪' '动作'],"['正义与清明', '团队合作', '犯罪与黑帮']","[10.0, 9.0, 8.0]",[],[],0,3
198,z6j3ixjjcokafyc,西虹市首富,2018,['喜剧' '搞笑'],"['逆境成长', '家庭与团圆', '困境与挑战']","[10.0, 9.0, 8.0]",[],[],0,3
199,mzc00200vzxfl43,鬼吹灯之南海归墟,2022,['冒险' '动作'],"['神秘与恐惧', '探索与冒险', '历史与文明']","[10.0, 9.0, 8.0]",[],[],0,3
200,mzc002009k9udxy,地宫笔记之五百龙首,2020,['搞笑' '动作' '奇幻' '喜剧' '悬疑' '冒险'],"['勇气与冒险', '神秘与恐惧', '团队合作']","[10.0, 9.0, 8.0]",[],[],0,3
201,i54sausckvytqnl,特工艾米拉,2014,['科幻' '剧情' '动作'],"['人工智能', '人机合作', '科技与未来']","[10.0, 9.0, 8.0]",[],[],0,3
202,hzssbvhzc7xyr95,白蛇：缘起,2019,['奇幻' '动画' '爱情' '古装'],"['信任与背叛', '真爱与选择', '神话与传说']","[10.0, 9.0, 8.0]","['浪漫', '感动']","[3.6, 3.2]",2,3
203,13468zf8900rmfm,前任攻略,2014,['喜剧' '爱情' '搞笑'],"['情感纠葛', '信任与背叛', '友谊']","[10.0, 9.0, 8.0]","['欢乐', '喜悦', '幸福']","[4.5, 4.0, 3.5]",3,3
204,mzc002005bvno3g,你的婚礼,2021,['爱情'],"['真爱与选择', '青春与成长', '自我与成长']","[10.0, 10.0, 9.0]",['治愈'],[4.0],1,3
205,mzc00200rblzjix,猫和老鼠·真人版,2021,['冒险' '喜剧' '动画' '家庭'],"['友谊与竞争', '适应与融入']","[9.0, 8.0]","['欢乐', '喜悦', '快乐']","[4.5, 4.0, 3.5]",3,2
206,5srq97ata83mikc,玩具总动员4,2019,['奇幻' '冒险' '喜剧' '动画'],"['友谊与成长', '忠诚与团结', '自我接受']","[10.0, 9.0, 8.0]",['欢乐'],[5.6],1,3
207,mzc00200rcd0dy0,鬼吹灯之精绝古城,2022,['奇幻' '冒险' '动作'],"['探索与冒险', '神秘与恐惧', '勇气与决断']","[10.0, 9.0, 8.0]",[],[],0,3
208,ehqo76prcwku2oq,狮子王,2019,['剧情' '歌舞' '家庭' '冒险' '动画'],"['自然与生存', '亲情疏远与和解', '领导与责任']","[10.0, 9.0, 8.0]",[],[],0,3
209,z95vg0q79gz2cde,生化危机：终章,2017,['恐怖' '动作' '惊悚' '科幻' '冒险'],['生死抉择'],[10.0],[],[],0,1
210,5p7gldtsriqkelp,边境杀手2：边境战士,2018,['惊悚' '剧情' '犯罪' '动作'],"['正义与罪恶', '信任与背叛']","[10.0, 9.0]",['惨烈'],[3.2],1,2
211,mzc00200jfxbn41,失控玩家,2021,['喜剧' '科幻' '动作'],"['人机合作', '虚拟现实', '人工智能']","[10.0, 10.0, 10.0]","['喜悦', '兴奋', '欢乐', '好奇', '焦虑', '意外', '紧张']","[3.6, 3.2, 2.8, 2.4, 2.4, 2.1, 2.1]",7,3
212,90qkh14unn4q8xu,钢铁侠2,2010,['冒险' '科幻' '动作'],"['科技与未来', '英雄与责任']","[10.0, 8.0]","['焦虑', '壮志', '紧张']","[4.5, 4.0, 3.5]",3,2
213,mzc00200tfjjhih,沙丘,2021,['冒险' '剧情' '科幻' '动作'],"['人类与自然的关系', '政治与权力', '命运与选择']","[10.0, 9.0, 8.0]",[],[],0,3
214,f3qroleq1lyuavy,唐人街探案,2015,['搞笑' '动作' '喜剧' '悬疑' '犯罪'],"['友情与竞争', '探案与智慧', '警察与侦探']","[10.0, 9.0, 8.0]",[],[],0,3
215,q8xwiu8yyxahzz8,功夫熊猫3,2016,['搞笑' '动作' '喜剧' '冒险' '动画'],"['友谊与成长', '自我发现', '勇气与决断']","[10.0, 9.0, 8.0]",[],[],0,3
216,mzc00200rk32jri,新大头儿子和小头爸爸4：完美爸爸,2021,['奇幻' '冒险' '动画'],"['亲情与成长', '自我与成长', '父子/父女']","[10.0, 9.0, 8.0]","['欢乐', '幸福', '温馨']","[4.5, 4.0, 3.5]",3,3
217,mzc00200892n01l,姜子牙,2020,['剧情' '动作' '奇幻' '冒险' '动画'],"['神话与传说', '文化与传承', '忠诚与承诺']","[10.0, 9.0, 8.0]","['失落', '沉重', '壮志', '荣耀']","[3.06, 2.97, 2.72, 2.64]",4,3
218,xhjxt4qacp7x6vf,生死狙击,2007,['动作' '战争' '悬疑' '惊悚' '犯罪'],"['信任与背叛', '勇气与决断']","[9.0, 8.0]","['焦虑', '敬意', '荣耀', '绝望']","[4.5, 4.5, 4.0, 3.5]",4,2
219,vx28eacrd1aar2k,的士速递,1998,['喜剧' '搞笑' '犯罪' '动作'],"['汽车文化', '信任与背叛']","[10.0, 9.0]","['欢乐', '幽默', '喜悦', '紧张']","[7.0, 6.3, 5.6, 2.1]",4,2
220,mzc00200g2o297n,美人皮,2020,['剧情' '爱情' '动作' '奇幻' '悬疑' '惊悚'],"['人性', '真爱与选择', '身份追寻']","[10.0, 9.0, 8.0]","['好奇', '浪漫', '诡异', '意外', '爱心', '敬意']","[3.3, 2.97, 2.97, 2.64, 2.64, 2.31]",6,3
221,e3927iak2dvwelf,全球风暴,2017,['灾难' '科幻' '动作'],"['环境与自然', '灾难与生存', '科技与未来']","[10.0, 9.0, 8.0]",[],[],0,3
222,mzc002000dujho6,海兽之子,2019,['奇幻' '冒险' '动画'],"['成长与自我发现', '人与自然的关系', '友谊']","[9.5, 9.0, 8.5]",['治愈'],[4.5],1,3
223,066t08wd89q7j0v,叛谍追击,2012,['悬疑' '惊悚' '犯罪' '动作'],"['信任与背叛', '国家荣誉']","[10.0, 8.0]",[],[],0,2
224,8fug3b3u6gttbba,特工008,2008,['动作'],"['国家荣誉', '勇气与决断', '间谍活动']","[10.0, 9.0, 8.0]","['荣耀', '敬意', '冷酷']","[4.5, 4.0, 4.0]",3,3
225,10evt1f9wqxa8bq,新大头儿子和小头爸爸3：俄罗斯奇遇记,2018,['冒险' '家庭' '儿童' '动画'],"['亲子关系', '成长与自我发现', '文化差异']","[10.0, 9.0, 8.0]",['欢乐'],[4.5],1,3
226,kbmpjffrp3gnc9f,降临,2017,['悬疑' '剧情' '科幻'],"['人类与外星生物交流', '语言与交流']","[10.0, 9.0]",[],[],0,2
227,4abqpjhvl3rm3n7,黑帮战将,1990,['犯罪' '动作'],"['黑帮与道义', '友情与信任', '勇气与决断']","[10.0, 9.0, 8.0]",['悲伤'],[2.667],1,3
228,177fphyzgxiyj6x,碟中谍2,2000,['惊悚' '冒险' '动作'],"['信任与背叛', '勇气与决断', '团队合作']","[10.0, 9.0, 8.0]",[],[],0,3
229,mzc00200sf6xtmk,狙击之王：暗杀,,['犯罪' '喜剧' '动作'],"['反恐任务', '女性力量与平等', '正义与清明']","[10.0, 9.0, 8.0]",[],[],0,3
230,cz2szzeahb8aj1k,复仇者联盟,2012,['奇幻' '冒险' '科幻' '动作'],"['团队合作', '英雄与责任', '勇气与决断']","[10.0, 9.0, 8.0]",[],[],0,3
231,5z9gtdw6vtgh4s2,桥,2008,['战争' '历史'],"['青春与成长', '忠诚与承诺', '勇气与决定']","[10.0, 9.0, 8.0]",['悲伤'],[2.331],1,3
232,2oaou6bi3anqp26,制裁特攻,2018,['犯罪' '惊悚' '动作'],"['正义与清明', '复仇与救赎']","[10.0, 9.0]",[],[],0,2
233,q5ze3rykjjgrev9,半条命3-特种兵之战,2016,['剧情' '动作'],"['困境与挑战', '勇气与决断', '团队合作']","[10.0, 9.0, 8.0]",[],[],0,3
234,mzc00200ro10p4o,小美人鱼,2023,['奇幻' '歌舞' '冒险' '爱情'],"['牺牲与奉献', '真爱与选择', '信任与背叛']","[10.0, 9.0, 8.0]",['悲伤'],[2.4],1,3
235,hwqubwf3mo66y64,精灵旅社2,2015,['奇幻' '喜剧' '动画' '家庭'],"['亲情与成长', '接受与包容', '父子/父女']","[10.0, 9.0, 8.0]","['欢乐', '幸福']","[6.0, 5.25]",2,3
236,mzc002005p0jk8v,名侦探柯南：万圣节的新娘,,['悬疑' '动画' '动作'],"['困境与挑战', '警察与侦探', '正义与清明']","[10.0, 9.0, 8.0]",[],[],0,3
237,mzc00200c585xnu,不止不休,2020,['剧情'],"['成长与自我发现', '勇敢面对困境']","[9.0, 8.0]","['鼓舞', '乐观', '焦虑', '失落', '无助']","[5.4, 4.8, 4.2, 3.2, 2.8]",5,2
238,m5zzglrbt5zdv6d,叶问4,2019,['传记' '剧情' '动作' '武侠' '历史'],"['武术传承', '民族荣誉', '师徒关系']","[10.0, 9.0, 8.0]",['爱国'],[5.4],1,3
239,1o29ui77e85grdr,肖申克的救赎,1994,['剧情' '励志' '犯罪'],"['自由与救赎', '信任', '希望与坚持']","[10.0, 9.0, 8.0]","['幸福', '压抑', '绝望']","[3.6, 3.2, 2.8]",3,3
240,6h70w1t6erhbbkx,蜘蛛侠,2002,['动作' '惊悚' '科幻' '冒险' '犯罪'],"['成长与自我发现', '英雄与责任', '人性']","[10.0, 9.0, 8.0]",[],[],0,3
241,mzc00200fwbilts,不老山异事,2022,['悬疑' '惊悚' '冒险'],"['神秘与恐惧', '阴阳冲突', '民间信仰']","[10.0, 9.0, 8.0]",[],[],0,3
242,mzc00200cpg1ig3,蛇王2021,2021,['冒险' '动作' '灾难' '科幻' '惊悚'],['生存与挑战'],[10.0],[],[],0,1
243,36t1wi1qri4h2ej,夺命五头鲨,2017,['惊悚' '恐怖' '科幻'],"['生存与挑战', '生死抉择', '挑战']","[10.0, 9.0, 8.0]","['惨烈', '残暴']","[8.0, 7.0]",2,3
244,rj5vksslchkvh63,猪猪侠·不可思议的世界,2019,['冒险' '喜剧' '动画'],"['成长与自我发现', '信任', '勇敢面对困境']","[10.0, 9.0, 8.0]","['欢乐', '快乐', '治愈']","[4.5, 4.0, 3.5]",3,3
245,mzc0020012faram,迷你特工队之拯救恐龙王,2020,['动画'],"['友情与信任', '团队合作', '勇敢面对困境']","[10.0, 9.0, 8.0]",[],[],0,3
246,mzc00200nfpfnid,哆啦A梦：伴我同行2,2020,['剧情' '动画'],"['友谊', '儿童与成长', '忠诚与承诺']","[10.0, 9.0, 8.0]",['治愈'],[2.8],1,3
247,zs00407pub6w7n6,少林叛徒,1977,['悬疑' '武侠' '动作'],"['信任与背叛', '师徒关系', '武术传承']","[10.0, 9.0, 8.0]",[],[],0,3
248,mzc00200uf2vwkp,九叔归来2,2021,['惊悚' '喜剧' '动作'],"['友情与信任', '团队合作']","[9.0, 8.0]",['诡异'],[2.4],1,2
249,mzc00200b3hvcjq,误杀2,2021,['剧情' '犯罪'],"['家庭矛盾与和解', '道义与法律', '自我救赎']","[10.0, 9.0, 8.0]",[],[],0,3
250,3j6v0bpyyudipae,黑鹰坠落,2001,['战争' '剧情' '历史' '动作'],"['团队合作', '牺牲与奉献', '勇气与决定']","[9.5, 9.0, 8.5]",['惨烈'],[2.38],1,3
251,1902rza0d5zclyt,海市蜃楼,2018,['剧情' '爱情' '科幻' '悬疑' '惊悚'],"['记忆与现实', '时间错乱', '失忆']","[9.0, 8.0, 8.0]","['恐慌', '焦虑']","[4.0, 3.5]",2,3
252,3o56brnhunm5bwx,西游记之大圣归来,2015,['奇幻' '剧情' '动画'],"['传统与现代', '成长与自我发现', '勇气与决定']","[10.0, 9.0, 8.0]",[],[],0,3
253,5h9ee07nbsaaddi,恐龙当家,2015,['冒险' '喜剧' '动画' '家庭'],"['友情与成长', '勇气与决心', '家庭与团圆']","[10.0, 9.0, 8.0]",['失落'],[1.8],1,3
254,we0v1e4gwbyz0et,哈利·波特与密室,2002,['奇幻' '冒险' '悬疑'],"['友谊', '勇气', '魔法世界']","[10.0, 9.0, 8.0]",[],[],0,3
255,71bctb897dwx46m,金刚：骷髅岛,2017,['奇幻' '冒险' '动作' '科幻'],"['人类与自然的关系', '生存与挑战', '勇气与冒险']","[10.0, 9.0, 8.0]",[],[],0,3
256,777ghazyu5gty9r,逃学威龙2,1992,['喜剧' '搞笑'],"['友谊', '青春与成长', '困境与挑战']","[9.5, 9.0, 8.5]","['欢乐', '喜悦', '幽默', '无助', '焦虑', '紧张']","[4.5, 4.0, 3.5, 3.5, 3.0, 2.5]",6,3
257,mzc00200mnqbh32,山海经之小人国,2018,['冒险' '动画' '儿童' '家庭'],"['成长与自我发现', '友谊', '勇气与决定']","[10.0, 9.0, 8.0]",['友爱'],[9.0],1,3
258,84cu4uxrkzi0e60,狂暴巨兽,2018,['冒险' '灾难' '科幻' '动作'],['生存与挑战'],[10.0],[],[],0,1
259,mzc00200zqstnl7,黑豹2,,['科幻' '冒险' '剧情' '动作'],"['科技与未来', '女性力量与平等', '团结与支持']","[10.0, 9.0, 8.0]",[],[],0,3
260,uwc5bonfpywnhyw,海豹突击队,2008,['剧情' '动作'],"['反恐任务', '团队合作', '忠诚与承诺']","[10.0, 10.0, 9.0]","['荣耀', '敬意']","[2.97, 2.64]",2,3
261,mzc0020071bvuoe,魅影狂花,,['爱情' '动作'],"['女性力量与平等', '复仇与救赎', '友谊']","[10.0, 9.0, 8.0]","['压抑', '愤怒', '绝望', '痛苦', '友爱']","[5.0, 4.5, 4.0, 3.6, 3.5]",5,3
262,4zjqix14x3nyntt,赛车总动员3：极速挑战,2017,['冒险' '喜剧' '动画'],"['汽车文化', '成长与自我发现', '真诚与友谊']","[10.0, 9.0, 8.0]","['鼓舞', '失落']","[3.2, 2.8]",2,3
263,egtq4vion0bv48w,精灵宝可梦：波尔凯尼恩与机巧的玛机雅娜,2016,['奇幻' '冒险' '动画'],"['友谊', '成长与自我发现', '人类与机器人的关系']","[10.0, 9.0, 8.0]",['治愈'],[4.2],1,3
