,aid,title,year,types,tags_theme,scores_theme,theme_tag,tags_emotion,scores_emotion
162,p9l8hn1lhz5boyu,狙击者,2018,['犯罪' '动作'],"['正义与清明', '信任与背叛', '勇气与决断', '生死抉择']","[10.0, 9.0, 8.0, 5.0]","['正义', '清明', '信任', '背叛', '勇气', '决断', '生死抉择']","['警匪', '生死', '中国电影', '危险', '团队合作', '勇敢', '成长']","[3.4, 3.06, 2.72, 2.72, 2.64, 2.31, 1.98]"
163,j8dmsydnfx63zd6,狄仁杰之通天帝国(环绕声版),2010,['动作' '悬疑' '武侠' '历史' '古装'],"['忠诚与承诺', '阴谋与权谋', '江湖武侠']","[9.0, 8.0, 7.0]","['忠诚', '承诺', '阴谋', '权谋', '江湖武侠']","['勇气', '荣耀', '爱国', '惨烈', '压迫', '战斗']","[3.6, 3.2, 2.8, 2.7, 2.4, 2.1]"
164,mzc00200tuzau15,前哨,2019,['战争' '剧情' '历史'],"['牺牲和奉献', '勇气与冒险', '忠诚与团结', '生死抉择', '战争与和平', '国家荣誉']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['牺牲和奉献', '勇气', '冒险', '忠诚', '团结', '生死抉择', '战争', '和平', '国家荣誉']","['生死', '英雄', '牺牲', '勇猛', '军事', '惨烈', '爱国']","[3.06, 2.97, 2.72, 2.64, 2.38, 2.38, 2.31]"
165,mzc00200yt0bu15,长空之王,2022,['剧情'],"['团队合作', '勇气与冒险', '航空事业', '家国荣誉']","[10.0, 9.0, 6.0, 5.0]","['团队合作', '勇气', '冒险', '航空事业', '家国荣誉']","['勇敢', '团队合作', '爱国', '军事', '危险', '主旋律', '生死', '牺牲']","[3.6, 3.2, 3.2, 1.6, 1.6, 1.4, 1.4, 1.4]"
166,zl1gbksebsq5329,一个人的武林（环绕声版）,2014,['犯罪' '惊悚' '剧情' '动作'],"['家庭破裂与重建', '正义与犯罪', '信任与背叛', '暴力与救赎', '勇气与决断']","[10.0, 9.0, 8.0, 6.0, 5.0]","['家庭破裂与重建', '正义', '犯罪', '信任', '背叛', '暴力', '救赎', '勇气', '决断']","['复仇', '悲伤', '惨烈']","[4.5, 4.0, 3.5]"
167,mzc002007wfqxp8,民间怪谈录之走阴人,2022,['悬疑' '惊悚' '恐怖'],"['灵异现象', '阴阳冲突', '诅咒与解除', '神秘与恐惧', '邪恶势力']","[10.0, 9.0, 7.0, 6.0, 5.0]","['灵异现象', '阴阳冲突', '诅咒', '解除', '神秘', '恐惧', '邪恶势力']","['诡异', '恐惧', '压抑', '勇气']","[6.75, 6.0, 5.25, 1.75]"
168,mzc00200kcaeqru,大鲨鱼,2020,['灾难' '惊悚'],"['生存与挑战', '环境与自然', '灾难与生存', '人类与自然的关系', '勇气与决断', '生死抉择']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['生存', '挑战', '环境', '自然', '灾难', '人类与自然的关系', '勇气', '决断', '生死抉择']","['现代', '危险', '勇敢', '牺牲', '团队合作']","[3.0, 3.0, 2.4, 2.4, 1.8]"
169,yif0jd9g6tpngcw,百团大战,2015,['战争' '历史'],"['民族抗战与团结', '勇气与牺牲', '团队协作', '国家荣誉']","[10.0, 9.0, 6.0, 5.0]","['民族抗战与团结', '勇气', '牺牲', '团队协作', '国家荣誉']","['爱国', '牺牲', '勇猛', '惨烈', '英雄', '军事', '生死']","[3.0, 3.0, 2.667, 2.667, 2.333, 2.333, 2.333]"
170,mzc00200czwrokj,喜羊羊与灰太狼之筐出未来,2022,['运动' '喜剧' '动画'],"['团队合作', '勇气与决断', '运动精神', '乐观向上', '成长与自我发现', '竞争与合作']","[10.0, 9.0, 8.0, 8.0, 7.0, 7.0]","['团队合作', '勇气', '决断', '运动精神', '乐观向上', '成长与自我发现', '竞争', '合作']","['团结', '友爱', '鼓舞']","[4.5, 4.0, 3.5]"
171,mzc00200otibal3,扫黑·决战,2021,['剧情' '犯罪' '动作'],"['正义与清明', '警察与侦探', '勇气与决断', '犯罪与黑帮', '正义与邪恶', '团队合作']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]","['正义', '清明', '警察', '侦探', '勇气', '决断', '犯罪', '黑帮', '邪恶', '团队合作']","['团队合作', '警匪', '英雄', '勇敢', '危险', '复仇']","[3.2, 3.0, 2.8, 2.8, 2.4, 2.1]"
172,mzc00200qv892j3,万里归途,2022,['战争' '剧情'],"['民族抗战与团结', '勇气与牺牲', '困境与挑战']","[9.0, 8.0, 5.0]","['民族抗战与团结', '勇气', '牺牲', '困境', '挑战']","['勇敢', '团队合作', '英雄', '生死', '牺牲', '主旋律', '惨烈']","[3.6, 3.2, 3.2, 1.4, 1.2, 1.0, 1.0]"
173,mzc0020009mj4p1,检察风云,2022,['悬疑' '剧情' '犯罪'],"['正义与罪恶', '真相与谎言', '生死抉择']","[10.0, 8.0, 7.0]","['正义', '罪恶', '真相', '谎言', '生死抉择']","['生死', '警匪', '惨烈']","[4.0, 3.5, 3.5]"
174,iqwvbujgzj5obv1,蜘蛛侠：英雄归来,2017,['冒险' '科幻' '动作'],"['成长与自我发现', '英雄与责任', '勇气与决断', '团队合作', '勇敢面对困境']","[10.0, 9.0, 9.0, 8.0, 8.0]","['成长与自我发现', '英雄', '责任', '勇气', '决断', '团队合作', '勇敢面对困境']","['英雄', '勇敢', '正直', '实习生', '训练', '敌人', '危机', '成长', '焦躁']","[3.6, 3.2, 3.2, 2.4, 2.4, 2.4, 2.4, 2.1, 2.1]"
175,c2seabnsfozypl8,星际穿越,2014,['短片' '冒险' '纪录片' '科幻'],"['生存与挑战', '科技与未来', '家庭与团圆', '人类与自然的关系', '勇气与牺牲', '时空错位']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['生存', '挑战', '科技', '未来', '家庭', '团圆', '人类与自然的关系', '勇气', '牺牲', '时空错位']","['探索', '勇气', '希望']","[4.5, 4.0, 3.5]"
176,mzc002000y0q8uy,独行月球,2022,['喜剧' '科幻'],"['生存与挑战', '勇气与决断', '科技与未来', '信念与坚持']","[10.0, 9.0, 8.0, 7.0]","['生存', '挑战', '勇气', '决断', '科技', '未来', '信念', '坚持']","['欢乐', '喜悦', '幽默', '意外', '失落', '好奇', '孤独', '回忆', '遗憾']","[3.6, 3.2, 2.8, 2.7, 2.7, 2.4, 2.4, 2.1, 2.1]"
177,og0eputlxwet1cn,我不是药神,2018,['剧情' '喜剧'],"['信任与背叛', '生死抉择', '勇敢面对困境', '困境与挑战', '正义与邪恶']","[10.0, 9.0, 7.0, 6.0, 5.0]","['信任', '背叛', '生死抉择', '勇敢面对困境', '困境', '挑战', '正义', '邪恶']","['感动', '无助', '希望', '焦虑', '勇气', '失落']","[4.5, 4.5, 4.0, 4.0, 3.5, 3.5]"
178,i07rixiqrz15irl,狂野目标,2010,['喜剧' '犯罪' '动作'],"['正义与邪恶', '真诚与友谊', '自我发现', '勇敢面对困境', '欺诈与智慧']","[10.0, 9.0, 8.0, 7.0, 6.0]","['正义', '邪恶', '真诚', '友谊', '自我发现', '勇敢面对困境', '欺诈', '智慧']","['幽默', '欢乐', '轻松', '自省', '痛苦', '好奇', '紧张', '意外', '恐慌']","[3.6, 3.2, 2.8, 2.4, 2.4, 2.1, 2.1, 1.8, 1.8]"
179,xq40wik5tkvqcrv,警车联盟,2018,['亲情' '冒险' '动画'],"['团队合作', '勇敢面对困境', '诚实与信任', '儿童与成长', '亲情与成长', '自我发现与成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['团队合作', '勇敢面对困境', '诚实', '信任', '儿童', '成长', '亲情', '自我发现与成长']","['友爱', '勇气', '温馨']","[4.5, 4.0, 3.5]"
180,mzc00200ecikjhl,贝肯熊2：金牌特工,2021,['冒险' '纪录片' '动画'],"['自信', '团队合作', '动物与人类和谐共处', '探险精神', '勇气与决断', '乐观向上']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['自信', '团队合作', '动物与人类和谐共处', '探险精神', '勇气', '决断', '乐观向上']","['成长', '勇敢', '团队合作', '现代', '危险', '挑战', '失去']","[3.6, 3.2, 2.8, 1.2, 1.2, 1.2, 1.0]"
181,mzc002002adpp50,逃出白垩纪,,['惊悚' '冒险' '科幻'],"['生存与挑战', '团队合作', '环境与自然', '勇气与决断', '时空错位']","[10.0, 8.0, 7.0, 6.0, 5.0]","['生存', '挑战', '团队合作', '环境', '自然', '勇气', '决断', '时空错位']","['危险', '勇敢', '探险', '成长', '挑战']","[3.06, 2.64, 2.38, 2.31, 2.04]"
182,t2t7544bcr1pw8r,唐人街探案2,2018,['搞笑' '剧情' '动作' '喜剧' '悬疑' '犯罪'],"['合作精神', '勇气与决断', '智慧与谜题', '警察与侦探', '欺诈与智慧', '真相与谎言']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['合作精神', '勇气', '决断', '智慧', '谜题', '警察', '侦探', '欺诈', '真相', '谎言']","['欢乐', '喜悦', '兴奋']","[4.5, 4.0, 3.5]"
183,egdwirgvj9yvfzm,野人族女王,2017,['悬疑' '动作'],"['女性力量与平等', '勇气与决断', '自我发现', '战斗与生存', '信任与背叛']","[9.0, 8.0, 8.0, 7.0, 7.0]","['女性力量与平等', '勇气', '决断', '自我发现', '战斗', '生存', '信任', '背叛']","['勇敢', '探险', '危险']","[3.6, 2.8, 2.7]"
184,dvp1mm6u6kxshuf,无名战士,2017,['战争' '剧情' '历史'],"['勇气与牺牲', '民族抗战与团结', '忠诚与承诺', '团结与支持', '正义与清明', '生死抉择']","[10.0, 10.0, 9.0, 8.0, 7.0, 6.0]","['勇气', '牺牲', '民族抗战与团结', '忠诚', '承诺', '团结', '支持', '正义', '清明', '生死抉择']","['勇猛', '英雄', '爱国', '军事', '牺牲', '惨烈', '生死']","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.667]"
185,ciwsbplwbrje0gt,钢铁侠,2008,['剧情' '动作' '惊悚' '科幻' '冒险'],"['科技与未来', '自我成长', '人性', '团结与合作', '勇气与决断', '生存与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['科技', '未来', '自我成长', '人性', '团结', '合作', '勇气', '决断', '生存', '挑战']","['英雄', '勇敢', '成长', '复仇', '危险']","[3.6, 3.2, 2.8, 1.4, 1.2]"
186,mzc002003q3gvl8,罗布泊之九龙天棺,2020,['奇幻' '冒险' '动作'],"['探险精神', '勇气与决断', '神秘与恐惧', '成长与挑战', '历史传说']","[10.0, 9.0, 8.0, 7.0, 6.0]","['探险精神', '勇气', '决断', '神秘', '恐惧', '成长', '挑战', '历史传说']","['热血', '勇气', '探险', '探秘', '危险', '生死', '团结', '成长', '挑战']","[3.333, 3.0, 3.0, 3.0, 3.0, 3.0, 2.667, 2.667, 2.667]"
187,lt0w27nj9tpfllw,新喜剧之王,2019,['剧情' '喜剧'],"['逆境成长', '自我发现', '勇敢面对困境', '梦想与现实', '喜剧式励志', '信念与坚持']","[10.0, 9.0, 9.0, 8.0, 8.0, 7.0]","['逆境成长', '自我发现', '勇敢面对困境', '梦想', '现实', '喜剧式励志', '信念', '坚持']","['勇气', '喜悦', '回忆', '压抑', '成长', '挫败', '港式幽默', '挣扎']","[3.6, 2.8, 2.4, 2.4, 2.1, 2.1, 1.8, 1.8]"
188,7g0jlcbwbuay8q2,欢乐好声音,2016,['歌舞' '喜剧' '音乐' '动画'],"['成长与自我发现', '友谊', '梦想与现实', '团队合作', '乐观向上', '音乐文化']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['成长与自我发现', '友谊', '梦想', '现实', '团队合作', '乐观向上', '音乐文化']","['欢乐', '青春', '团队合作']","[5.0, 4.5, 4.0]"
189,mzc00200ets769l,大蛇王,2022,['灾难' '惊悚'],"['生死抉择', '勇气与决断', '挑战', '灾难与生存']","[10.0, 9.0, 8.0, 7.0]","['生死抉择', '勇气', '决断', '挑战', '灾难', '生存']","['复仇', '自然', '生死', '危险', '勇敢', '勇猛']","[6.0, 5.4, 5.4, 4.2, 2.7, 2.7]"
190,9g0qaxqkl2ctb2t,前任2：备胎反击战,2015,['喜剧' '爱情'],"['友谊', '自我发现', '情感纠葛', '人际关系', '青春与成长']","[9.0, 8.0, 7.0, 6.0, 5.0]","['友谊', '自我发现', '情感纠葛', '人际关系', '青春', '成长']","['幽默', '欢笑', '喜悦']","[6.0, 5.4, 4.8]"
191,igy79xk26amdv6z,招魂,2013,['悬疑' '惊悚' '恐怖'],"['灵异现象', '阴阳冲突', '真相与谎言', '挑战']","[10.0, 9.0, 8.0, 7.0]","['灵异现象', '阴阳冲突', '真相', '谎言', '挑战']",['危险'],[3.5]
192,mzc00200tjx10w4,深海巨蟒,,['悬疑' '灾难' '剧情' '冒险'],"['生死抉择', '团队合作', '勇气与决断', '挑战', '生存与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0]","['生死抉择', '团队合作', '勇气', '决断', '挑战', '生存']","['自然', '危险', '团队合作', '探险', '勇敢', '现代', '生死', '成长']","[3.06, 3.06, 2.97, 2.72, 2.64, 2.38, 2.38, 2.31]"
193,mzc0020021sbml5,比得兔2：逃跑计划,2021,['奇幻' '冒险' '喜剧' '动画'],"['成长与自我发现', '友谊', '自然与环境保护', '家庭与团圆', '冲突与和解', '勇气与冒险']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['成长与自我发现', '友谊', '自然与环境保护', '家庭', '团圆', '冲突', '和解', '勇气', '冒险']","['欢乐', '快乐', '欢笑', '挫败', '成长', '挑战', '失落']","[4.0, 3.6, 3.2, 2.0, 1.8, 1.8, 1.4]"
194,yetppr64a8gwrgz,敢死队2,2012,['动作' '惊悚' '战争' '冒险' '犯罪'],"['团队合作', '勇气与决断', '信任与背叛', '正义与清明', '战斗与生存']","[10.0, 9.0, 8.0, 7.0, 5.0]","['团队合作', '勇气', '决断', '信任', '背叛', '正义', '清明', '战斗', '生存']","['牺牲', '惨烈', '勇猛', '英勇', '复仇', '团队合作']","[3.06, 3.06, 2.97, 2.97, 2.72, 2.64]"
195,mzc00200myum1yh,猫和老鼠：西部大冒险,,['冒险' '剧情' '动画'],"['团队合作', '勇敢面对困境', '正义与邪恶', '竞争与合作']","[10.0, 8.0, 7.0, 6.0]","['团队合作', '勇敢面对困境', '正义', '邪恶', '竞争', '合作']","['欢乐', '勇气', '喜悦']","[4.5, 4.0, 4.0]"
196,jkxldo6czqaxz7f,深海,2023,['奇幻' '动画'],"['成长与自我发现', '人与自然的关系', '神秘与恐惧', '友谊']","[10.0, 9.0, 9.0, 7.0]","['成长与自我发现', '人与自然的关系', '神秘', '恐惧', '友谊']","['青春', '治愈']","[4.0, 3.5]"
197,mzc00200jblzlgz,重装战警,2022,['犯罪' '动作'],"['正义与清明', '团队合作', '勇气与决断', '犯罪与黑帮', '警察与侦探']","[10.0, 9.0, 8.0, 8.0, 7.0]","['正义', '清明', '团队合作', '勇气', '决断', '犯罪', '黑帮', '警察', '侦探']","['警匪', '危险', '复仇', '勇敢', '团队合作', '英雄']","[3.6, 3.2, 2.8, 2.7, 2.4, 2.1]"
198,z6j3ixjjcokafyc,西虹市首富,2018,['喜剧' '搞笑'],"['逆境成长', '家庭与团圆', '困境与挑战', '喜剧式励志', '财富与价值观']","[10.0, 9.0, 8.0, 7.0, 6.0]","['逆境成长', '家庭', '团圆', '困境', '挑战', '喜剧式励志', '财富与价值观']","['讽刺', '黑色幽默']","[3.2, 3.2]"
199,mzc00200vzxfl43,鬼吹灯之南海归墟,2022,['冒险' '动作'],"['神秘与恐惧', '探索与冒险', '历史与文明', '生死抉择', '勇气与决断', '团队合作']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['神秘', '恐惧', '探索', '冒险', '历史', '文明', '生死抉择', '勇气', '决断', '团队合作']","['团队合作', '勇敢', '探险', '危险', '现代', '挑战']","[3.2, 2.8, 2.4, 2.4, 2.1, 2.1]"
200,mzc002009k9udxy,地宫笔记之五百龙首,2020,['搞笑' '动作' '奇幻' '喜剧' '悬疑' '冒险'],"['勇气与冒险', '神秘与恐惧', '团队合作', '调查与解谜', '文化遗产']","[10.0, 9.0, 8.0, 7.0, 6.0]","['勇气', '冒险', '神秘', '恐惧', '团队合作', '调查', '解谜', '文化遗产']","['友情', '团队合作', '勇敢', '危险', '挑战', '牺牲']","[2.97, 2.64, 2.31, 2.04, 1.7, 1.36]"
201,i54sausckvytqnl,特工艾米拉,2014,['科幻' '剧情' '动作'],"['人工智能', '人机合作', '科技与未来', '身份追寻', '勇敢面对困境', '逆境成长']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['人工智能', '人机合作', '科技', '未来', '身份追寻', '勇敢面对困境', '逆境成长']","['勇敢', '英雄', '危险', '复仇', '挑战']","[3.6, 3.2, 1.6, 1.4, 1.2]"
202,hzssbvhzc7xyr95,白蛇：缘起,2019,['奇幻' '动画' '爱情' '古装'],"['信任与背叛', '真爱与选择', '神话与传说', '情感纠葛', '文化与传承', '勇敢面对困境']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['信任', '背叛', '真爱', '选择', '神话', '传说', '情感纠葛', '文化', '传承', '勇敢面对困境']","['浪漫', '感动', '神话', '压抑', '唯美', '伤心', '遗憾']","[3.6, 3.2, 1.2, 1.2, 1.0, 1.0, 0.8]"
203,13468zf8900rmfm,前任攻略,2014,['喜剧' '爱情' '搞笑'],"['情感纠葛', '信任与背叛', '成长与自我发现', '友谊', '回忆与挽回', '逆境成长']","[10.0, 9.0, 8.0, 8.0, 7.0, 6.0]","['情感纠葛', '信任', '背叛', '成长与自我发现', '友谊', '回忆', '挽回', '逆境成长']","['欢乐', '喜悦', '幸福']","[4.5, 4.0, 3.5]"
204,mzc002005bvno3g,你的婚礼,2021,['爱情'],"['青春与成长', '真爱与选择', '执着与放手', '自我与成长', '时间与回忆', '成长痛苦']","[10.0, 10.0, 9.0, 9.0, 8.0, 8.0]","['青春', '成长', '真爱', '选择', '执着', '放手', '自我', '时间', '回忆', '成长痛苦']","['成长', '治愈']","[4.5, 4.0]"
205,mzc00200rblzjix,猫和老鼠·真人版,2021,['冒险' '喜剧' '动画' '家庭'],"['友谊与竞争', '适应与融入', '冲突与和解']","[9.0, 8.0, 7.0]","['友谊', '竞争', '适应', '融入', '冲突', '和解']","['欢乐', '喜悦', '快乐']","[4.5, 4.0, 3.5]"
206,5srq97ata83mikc,玩具总动员4,2019,['奇幻' '冒险' '喜剧' '动画'],"['友谊与成长', '忠诚与团结', '自我接受', '信任', '探索与冒险']","[10.0, 9.0, 8.0, 7.0, 6.0]","['友谊', '成长', '忠诚', '团结', '自我接受', '信任', '探索', '冒险']","['友情', '欢乐', '勇气']","[6.3, 5.6, 4.9]"
207,mzc00200rcd0dy0,鬼吹灯之精绝古城,2022,['奇幻' '冒险' '动作'],"['探索与冒险', '神秘与恐惧', '勇气与决断', '真相与谎言', '团队合作', '文化遗产']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['探索', '冒险', '神秘', '恐惧', '勇气', '决断', '真相', '谎言', '团队合作', '文化遗产']","['探险', '危险', '勇敢', '现代', '挑战', '生死', '团队合作']","[3.06, 3.06, 2.97, 2.72, 2.72, 2.72, 2.64]"
208,ehqo76prcwku2oq,狮子王,2019,['剧情' '歌舞' '家庭' '冒险' '动画'],"['自然与生存', '亲情疏远与和解', '领导与责任', '成长与自我发现', '信任与背叛', '勇气与决断']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['自然', '生存', '亲情疏远与和解', '领导', '责任', '成长与自我发现', '信任', '背叛', '勇气', '决断']","['成长', '勇气', '希望', '背叛', '悲痛', '童年', '绝望']","[4.5, 4.0, 3.5, 1.8, 1.6, 1.4, 1.4]"
209,z95vg0q79gz2cde,生化危机：终章,2017,['恐怖' '动作' '惊悚' '科幻' '冒险'],['生死抉择'],[10.0],['生死抉择'],"['危险', '生死']","[4.0, 3.5]"
210,5p7gldtsriqkelp,边境杀手2：边境战士,2018,['惊悚' '剧情' '犯罪' '动作'],"['正义与罪恶', '信任与背叛', '勇气与决断', '战斗与生存']","[10.0, 9.0, 7.0, 6.0]","['正义', '罪恶', '信任', '背叛', '勇气', '决断', '战斗', '生存']","['警匪', '牺牲', '惨烈', '挑战', '复仇', '团队合作']","[3.6, 3.6, 3.2, 3.2, 2.8, 1.4]"
211,mzc00200jfxbn41,失控玩家,2021,['喜剧' '科幻' '动作'],"['虚拟现实', '人工智能', '人机合作', '信任与背叛', '反抗与自由', '团队合作']","[10.0, 10.0, 10.0, 9.0, 8.0, 7.0]","['虚拟现实', '人工智能', '人机合作', '信任', '背叛', '反抗', '自由', '团队合作']","['喜悦', '兴奋', '欢乐', '好奇', '焦虑', '意外', '紧张', '回忆', '恐惧']","[3.6, 3.2, 2.8, 2.4, 2.4, 2.1, 2.1, 1.8, 1.8]"
212,90qkh14unn4q8xu,钢铁侠2,2010,['冒险' '科幻' '动作'],"['科技与未来', '英雄与责任', '自我与成长']","[10.0, 8.0, 7.0]","['科技', '未来', '英雄', '责任', '自我', '成长']","['勇气', '英勇', '焦虑', '壮志', '紧张', '恐惧']","[4.5, 4.0, 4.0, 3.5, 3.5, 3.0]"
213,mzc00200tfjjhih,沙丘,2021,['冒险' '剧情' '科幻' '动作'],"['人类与自然的关系', '政治与权力', '命运与选择', '家族秘密', '生存与挑战', '团队合作']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['人类与自然的关系', '政治', '权力', '命运', '选择', '家族秘密', '生存', '挑战', '团队合作']","['英雄', '危险', '经典', '挑战', '成长', '生死']","[3.0, 3.0, 2.667, 2.667, 2.333, 2.333]"
214,f3qroleq1lyuavy,唐人街探案,2015,['搞笑' '动作' '喜剧' '悬疑' '犯罪'],"['友情与竞争', '探案与智慧', '警察与侦探', '文化冲突', '逆境成长']","[10.0, 9.0, 8.0, 7.0, 6.0]","['友情', '竞争', '探案', '智慧', '警察', '侦探', '文化冲突', '逆境成长']","['现代', '危险', '勇敢', '推理', '团队合作']","[2.72, 2.72, 2.64, 2.38, 2.31]"
215,q8xwiu8yyxahzz8,功夫熊猫3,2016,['搞笑' '动作' '喜剧' '冒险' '动画'],"['友谊与成长', '自我发现', '勇气与决断', '传统与创新', '父子/父女', '战胜恶势力']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['友谊', '成长', '自我发现', '勇气', '决断', '传统', '创新', '父子/父女', '战胜恶势力']","['团队合作', '勇敢', '成长']","[4.5, 4.0, 3.5]"
216,mzc00200rk32jri,新大头儿子和小头爸爸4：完美爸爸,2021,['奇幻' '冒险' '动画'],"['亲情与成长', '自我与成长', '家庭关系', '父子/父女', '成长与挑战', '勇气与冒险']","[10.0, 9.0, 8.0, 8.0, 7.0, 6.0]","['亲情', '成长', '自我', '家庭关系', '父子/父女', '挑战', '勇气', '冒险']","['欢乐', '幸福', '温馨']","[4.5, 4.0, 3.5]"
217,mzc00200892n01l,姜子牙,2020,['剧情' '动作' '奇幻' '冒险' '动画'],"['神话与传说', '文化与传承', '勇气与决断', '忠诚与承诺', '自我成长', '信任与背叛']","[10.0, 9.0, 8.0, 8.0, 7.0, 6.0]","['神话', '传说', '文化', '传承', '勇气', '决断', '忠诚', '承诺', '自我成长', '信任', '背叛']","['失落', '勇气', '沉重', '壮志', '战斗', '荣耀']","[3.06, 2.97, 2.72, 2.64, 2.38, 2.31]"
218,xhjxt4qacp7x6vf,生死狙击,2007,['动作' '战争' '悬疑' '惊悚' '犯罪'],"['信任与背叛', '勇气与决断', '正义与清明']","[9.0, 8.0, 7.0]","['信任', '背叛', '勇气', '决断', '正义', '清明']","['勇气', '焦虑', '敬意', '恐惧', '荣耀', '绝望']","[4.5, 4.5, 4.0, 4.0, 3.5, 3.5]"
219,vx28eacrd1aar2k,的士速递,1998,['喜剧' '搞笑' '犯罪' '动作'],"['汽车文化', '信任与背叛']","[10.0, 9.0]","['汽车文化', '信任', '背叛']","['欢乐', '幽默', '喜悦', '紧张']","[7.0, 6.3, 5.6, 2.1]"
220,mzc00200g2o297n,美人皮,2020,['剧情' '爱情' '动作' '奇幻' '悬疑' '惊悚'],"['人性', '真爱与选择', '身份追寻', '邪恶与善良', '勇敢面对困境', '命运与选择']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['人性', '真爱', '选择', '身份追寻', '邪恶', '善良', '勇敢面对困境', '命运']","['好奇', '恐惧', '浪漫', '诡异', '勇气', '意外', '爱心', '敬意']","[3.3, 3.3, 2.97, 2.97, 2.64, 2.64, 2.31, 1.98]"
221,e3927iak2dvwelf,全球风暴,2017,['灾难' '科幻' '动作'],"['环境与自然', '灾难与生存', '科技与未来', '团队合作', '勇气与决断', '生存与挑战']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['环境', '自然', '灾难', '生存', '科技', '未来', '团队合作', '勇气', '决断', '挑战']","['危险', '团队合作', '自然灾害', '环境', '阴谋']","[2.7, 2.4, 2.4, 2.1, 2.1]"
222,mzc002000dujho6,海兽之子,2019,['奇幻' '冒险' '动画'],"['成长与自我发现', '人与自然的关系', '友谊', '牺牲精神']","[9.5, 9.0, 8.5, 8.0]","['成长与自我发现', '人与自然的关系', '友谊', '牺牲精神']","['治愈', '青春', '成长']","[4.5, 4.0, 4.0]"
223,066t08wd89q7j0v,叛谍追击,2012,['悬疑' '惊悚' '犯罪' '动作'],"['信任与背叛', '国家荣誉', '勇气与决断', '正义与清明']","[10.0, 8.0, 7.0, 7.0]","['信任', '背叛', '国家荣誉', '勇气', '决断', '正义', '清明']","['团队合作', '勇敢', '复仇', '生死', '危险']","[3.6, 3.2, 1.4, 1.2, 1.0]"
224,8fug3b3u6gttbba,特工008,2008,['动作'],"['国家荣誉', '勇气与决断', '间谍活动', '反恐任务', '信任与背叛']","[10.0, 9.0, 8.0, 7.0, 6.0]","['国家荣誉', '勇气', '决断', '间谍活动', '反恐任务', '信任', '背叛']","['勇敢', '英雄', '阴谋', '危险', '复仇', '牺牲']","[3.6, 3.2, 1.8, 1.8, 1.6, 1.4]"
225,10evt1f9wqxa8bq,新大头儿子和小头爸爸3：俄罗斯奇遇记,2018,['冒险' '家庭' '儿童' '动画'],"['亲子关系', '成长与自我发现', '文化差异', '友谊', '勇敢面对困境', '教育']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['亲子关系', '成长与自我发现', '文化差异', '友谊', '勇敢面对困境', '教育']","['勇气', '欢乐']","[4.5, 3.5]"
226,kbmpjffrp3gnc9f,降临,2017,['悬疑' '剧情' '科幻'],"['人类与外星生物交流', '语言与交流', '生命与死亡', '亲情与成长', '困境与挑战']","[10.0, 9.0, 7.0, 6.0, 5.0]","['人类与外星生物交流', '语言', '交流', '生命', '死亡', '亲情', '成长', '困境', '挑战']","['外星势力', '危险', '挑战', '团队合作']","[4.0, 3.2, 2.8, 2.7]"
227,4abqpjhvl3rm3n7,黑帮战将,1990,['犯罪' '动作'],"['黑帮与道义', '友情与信任', '勇气与决断', '正义与清明']","[10.0, 9.0, 8.0, 7.0]","['黑帮', '道义', '友情', '信任', '勇气', '决断', '正义', '清明']","['复仇', '勇敢', '悲伤', '团队合作', '武打功夫', '生死', '成长']","[3.333, 2.667, 2.667, 2.333, 2.333, 2.333, 2.0]"
228,177fphyzgxiyj6x,碟中谍2,2000,['惊悚' '冒险' '动作'],"['信任与背叛', '勇气与决断', '团队合作', '身份追寻', '间谍活动', '反恐任务']","[10.0, 9.0, 8.0, 7.0, 6.0, 5.0]","['信任', '背叛', '勇气', '决断', '团队合作', '身份追寻', '间谍活动', '反恐任务']","['勇敢', '团队合作', '英雄', '现代', '危险', '挑战', '复仇']","[3.6, 3.2, 3.2, 1.8, 1.8, 1.6, 1.4]"
